Parent Ids;ID;Konzepte;Typ;Synonyme;Wortformen
;1;Naturkatastrophe;intern;ungewöhnliche Naturereignisse, Kataklysmus;Naturkatastrophen, Naturkatastrophe
1;2;Arten von Naturkatastrophen;intern;Klassifizierung, Typen ;
2;3;Geologische;intern;Endogene, tektonische;geologisch, geologischer, geologische, geologisches
3;4;Erdbeben;intern;Erderschütterung,Erdstöße;Erdbebens
4;5;Erdbebenphänomene;intern;Erderschütterungsphänomen;Erdbebenphänomene
5;6;Erdbebebnschwam/Schwarmbeben;;Schwarmbeben ;
5;7;Seismische Aktivität;;Erdbebenaktivität;Seismische Aktivitäten, Seismischer, Seismisches, Seismischen
5;8;Nachbeben;;;Nachbebens, nachbebenartig,nachbebenhaft, nachbebenbedingt, nachbebengefährdet
5;9;Epizentrum;;Erdbebenzentrum;Epizentrums, Epizentren, epizentrisch, epizentral
5;10;Hauptbeben;;Primärbeben;Hauptbebens, hauptbebenartig, hauptbebengefährdet, hauptbebenbedingt
5;11;Hypozentrum;; Bebenherd, Erdbebenfokus;Hypozentrums, hypozentrisch
5;12;Vorbeben;;;Vorbebens
5;13;Seebeben;;;
5;14;Erdstoß;;;
4;15;Erdbebenurschen;;;
15;16;Erdkruste;;;
16;17;Tiefherdbeben;;;
15;18;plaektonische Prozesse;;;
18;19;kontinenteplattendrift;;;
19;20;Bewegung von Lithosphärenplatten;;;
20;21;Spreizungszone;;;
20;22;Subduktion;;;
20;23;Transformverwerfung;;;
15;24;Verwerfung;;;
24;25;anthropogene Erdbeben;;;
25;26;Sttausee-Erdbeben;;;
26;27;Wnchuan-Erdbeben China 2008;;;
4;28;Erdbebenfolgen;;;
28;29;Erdbebenschäden;;;
29;31;Gebäudezerstörung durch Erdbeben;;;
29;32;Infrastrukturschäden durch Erdbeben;;;
29;33;witschaftliche Schäden;;;
35;34;Erdbebensuche;;;
28;35;Erdbebenopfer;;;
35;36;Anzahl Erdbebenbetroffenen;;;
36;37;Erdbeben-Tote;;;
36;38;Verletzte in Syrien;;;
36;39;Vermisste im Erdbebengebiet;;;
4;40;Erdbebenforschung;;;
40;41;Seismologie;;;
41;42;Messung;;;
42;43;Seismograph;;;
43;44;Erdbebenwellen;;;
44;45;P-Wellen;;;
44;46;S-Wellen;;;
44;47;Oberflächenwellen;;;
42;48;Erdbebenstärke;;;
48;49;Intensität;;;
49;50;Mercalliskala;;;
49;51;MSK-Skala (EMS-Skala);;;
48;52;Magnitude;;;
52;53;Richterskala;;;
52;54;Moment-Magnituden-Skala;;;
4;55;Erdbebengefährdung;;;
55;56;Risiko;;;
55;57;Erdbebengebiet (Erdbebenrisikozone);;;
57;58;Erdbeben in Türkein;;;
57;59;Erdbeben in Syrien;;;
57;60;Erdbeben im Indischen Ozean 2004;;;
57;61;Seebeben vor Java Juli 2006;;;
57;62;Großes Alaska-Beben;;;
4;63;Erdbebenschutzmaßnahmen;;;
63;64;EU-Satellitensystem Copernicus;;;
63;65;bauen erdbebensichere Gebäude;;;
63;66;bauvorschrifte für erdbebensicheres/erdbebenreches Bauen;;;
63;67;Erdbeben-Monitoring-Dienst;;;
;68;Vulkanausbruch;;;
68;69;Beruhigung der Lage:Prognose;;;
69;70;Entleerung der Magma-Krater;;;
69;71;Schlotverschließung;;;
68;72;Vulkanphänomene;;;
72;73;Krater (Caldera);;;
72;74;Magma (Lavafluss Lavastrom);;;
72;75;Eruption;;;
75;76;strombolianischen Eruption;;;
75;77;plinianischen Eruption;;;
75;78;Eruptionssäule;;;
75;79;vulkanische Bomben;;;
68;80;von Volkan ausgelöste Ereignisse;;;
80;81;Lahar (Schlamm- und Schuttströme);;;
80;82;pyroklastische Ströme (Glühlawine);;;
80;83;Gletscher;;;
80, 4;84;Tsunami;;;
80;85;Gerölllawine;;;
68;86;Vulkantyp;;;
86;87;Schichtvulkan;;;
86;88;Schildvulkan;;;
86;89;komplexer Vulkan;;;
86;90;Schlackenkegel;;;
86;91;Spaltenvulkan;;;
86;92;Kraterreihe;;;
86;93;Maar;;;
86;94;submariner Vulkan;;;
86;95;Vulkanfeld;;;
68;96;Vorhersage von Vulkanausbrüchen;;;
96;97;Aufzeichnung seismischer Aktivität (vulkanischer Tremor);;;
96;98;Geodätische Überwachun;;;
96;99;Messung gravimetrischer und magnetometrischer Veränderungen;;;
96;100;Erfassung von Temperaturerhöhungen;;;
68;101;Betroffene Gebiete;;;
101;102;Indonesien überzogen von Vulkanen (Hauptinsel Java);;;
101;103;Vulkanausbruch auf La Palma;;;
3;104;Tsunamis;;;
104;105;Abfolge besonders langer Wasserwellen;;;
104;106;Tsunamiursachen;;;
106;107;unterseeischen Erdbeben;;;
106;108;Hineinrutschen großer Erd- und Gesteinsmassen ins Wasser;;;
106;109;künstlich hervorgerufenen Explosionen;;;
106;110;Einschlag eines Himmelskörpers;;;
104;111;Tsunamigefahrenzonen;;;
111;112;Erdbeben im Indischen Ozean 2004;;;
111;113;Seebeben vor Java Juli 2006;;;
104;114;Tsunamischutz;;;
114;115;Frühwarnsystem im Japan;;;
114;116;Malaysian National Tsunami Early Warning System (MNTEWS);;;
2;117;Meteorologische;;;
117;118;Hurrikan;;;
118;119;Hurrikanfolgen;;;
119;120;Sturmflut;;;
119;121;Windbruch;;;
119;122;Küstenerosion;;;
119;123;Erdrutschen;;;
119;124;Sturzfluten;;;
119;125;Überschwemmung;;;
118;126;Hurrikaneigenschaften;;;
126;127;Wirbelsturm;;;
127;128;Zyklon;;;
128;129;im Indischen Ozean und Südpazifik;;;
126;130;hohe Windgeschwindigkeit;;;
126;131;Hurrikanzentrum;;;
117;132;Tornado(Wind-/Wasserhose Großtrombe);;;
132;133;Mesozyklonale Tornado ;;;
133;384;Meso-Zyklon;;;
133;135;Sturzregen;;;
133;136;Gewitterfallböen;;;
132;137;Nicht-mesozyklonale Tornados;;;
132;138;Tornadoursachen;;;
138;139;Superzellen (mehrere Gewitterzellen(;;;
139;140;Auf- und Abwinde;;;
132;142;Tornadofolgen;;;
142;143;umgestürzte Bäume;;;
142;144;abgerissene Stromleitung;;;
132;145;Tornado in Alabama;;;
132;146;Tornadoerkennung;;;
146;147;Luftwirbel ;;;
146;148;rotierende Luftmasse;;;
146;149;Trichter (Windhosen);;;
146;150;Fujita-Skala;;;
146;151;TORRO-Skala;;;
117;152;Dürre (Trockenheit );;;
152;153;verursacht durch Hitze;;;
152;154;Typologie von Dürreereignissen;;;
;155;meteorologische Dürre;;;
;156;hydrologische Dürre;;;
;157;landwirtschaftliche Dürre;;;
;158;sozio-ökonomische Dürre;;;
152;159;Dürreperiode;;;
;160;Palmer-Dürre-Index;;;
;161;Folgen von Dürren;;;
;162;geringere Ernten hohe Preise für die geernteten Güter (extern);;;
;163;Engpässe in der Stromversorgung;;;
;164; als Folge--->>Waldbrand;;;
;165;Bodenerosion;;;
;166;schlimmste Dürre des Jahrtausends Deutschland1540;;;
117;167;Waldbrand (Flurbrand Vegetationsbrand);;;
;168;Waldbrandgefahr;;;
;169;Waldbrand-Gefahrenstufe;;;
;170;waldbrand-statistik;;;
;171;waldbrand-beobachtungssystemWaldbrandüberwachungsflüge;;;
;172;waldbrand-jahr;;;
;173;Waldbrandausrüstung;;;
