Word;Frequency;
türkei;359;
menschen;337;
erdbeben;298;
syrien;201;
hilfe;190;
mehr;167;
beben;145;
sei;134;
seien;132;
deutschland;120;
viele;114;
sagte;111;
türkischen;110;
artikel;103;
wurden;103;
ort;97;
millionen;86;
worden;86;
trümmern;86;
zwei;84;
immer;79;
angaben;78;
region;78;
rund;76;
bereits;74;
wurde;74;
stunden;72;
stärke;70;
sagt;69;
betroffenen;67;
erdbebengebiet;65;
laut;64;
etwa;63;
schon;60;
gibt;59;
gebäude;59;
helfer;59;
helfen;58;
seit;58;
türkische;58;
leben;57;
weitere;55;
stadt;54;
drei;53;
regierung;50;
erde;47;
lage;47;
euro;46;
spenden;46;
hatay;46;
hilfsgüter;46;
zufolge;43;
zahl;43;
dabei;42;
erdogan;42;
zunächst;42;
bayern;41;
jahren;41;
mindestens;40;
katastrophe;40;
gab;40;
sollen;38;
derzeit;38;
türkisch-syrischen;38;
provinz;38;
team;38;
syriens;37;
müssen;37;
erdbebenopfer;37;
deutschen;36;
einsatz;36;
teilte;36;
tage;36;
tote;36;
darauf;35;
häuser;35;
erdkern;34;
beim;34;
mehrere;34;
geht;34;
kommt;33;
schweren;33;
stark;33;
jahr;33;
kommen;33;
kilometer;32;
zudem;32;
unterstützung;32;
präsident;32;
bisher;32;
vier;31;
erklärt;31;
erklärte;31;
kinder;31;
toten;31;
verwandten;31;
schnell;31;
bundesregierung;31;
gerettet;31;
syrischen;31;
thw;31;
dafür;30;
betroffen;30;
fast;30;
land;30;
medien;30;
erdbebenregion;30;
sehen;30;
zeit;29;
woche;29;
könne;29;
twitter;29;
nürnberg;29;
nachbeben;29;
hilfsorganisationen;29;
gebieten;29;
welt;28;
informationen;28;
überlebenden;28;
schäden;28;
gerade;28;
sachspenden;28;
angehörigen;28;
jedoch;28;
geborgen;28;
hilft;28;
erdbebens;27;
montag;27;
vergangenen;27;
hätten;27;
einfach;27;
sowie;27;
beiden;27;
hilfsorganisation;27;
humedica;27;
decken;27;
dienstag;27;
wochen;26;
februar;26;
humanitäre;26;
mal;26;
fukushima;26;
bebens;25;
ersten;25;
dringend;25;
zehn;25;
nordwesten;25;
vielen;25;
erst;25;
mittwoch;25;
faeser;25;
grenzgebiet;25;
jahre;25;
könnten;25;
behörden;25;
ums;24;
nationen;24;
wegen;24;
besonders;24;
gut;24;
arbeit;24;
gemeinde;24;
betroffene;24;
verein;24;
monate;24;
situation;24;
lebend;24;
zelte;24;
familie;24;
berlin;24;
gehen;23;
zerstört;23;
verheerenden;23;
deutsche;23;
oft;23;
tagen;23;
afad;23;
temperaturen;22;
epizentrum;22;
versorgung;22;
tag;22;
stehen;22;
frage;22;
beispiel;22;
münchen;22;
möglich;22;
syrische;22;
überlebende;22;
frau;22;
allein;21;
opfer;21;
baerbock;21;
davon;21;
bislang;21;
steht;21;
deshalb;21;
allerdings;21;
antakya;21;
ganze;21;
gegeben;21;
berichtete;21;
schwer;21;
erste;21;
todesopfer;21;
nacht;21;
inneren;20;
tiefe;20;
gekommen;20;
verletzt;20;
insgesamt;20;
vereinten;20;
verloren;20;
tun;20;
große;20;
unterstützen;20;
kahramanmaras;20;
katastrophengebiet;20;
rettungskräfte;20;
kilometern;19;
norden;19;
benötigt;19;
istanbul;19;
kam;19;
katastrophenschutzbehörde;19;
berichtet;19;
aktuellen;19;
familien;19;
gaziantep;19;
gebracht;19;
einsatzkräfte;19;
eingestürzten;19;
fracking;19;
kurz;18;
wichtig;18;
prozent;18;
weniger;18;
sechs;18;
außerdem;18;
angehörige;18;
leisten;18;
gebe;18;
kaum;18;
regionen;18;
lag;18;
inzwischen;18;
erschüttert;18;
flughafen;18;
ländern;18;
donnerstag;18;
grenzübergänge;18;
tsunami;18;
mars;18;
darunter;17;
steigt;17;
demnach;17;
beschädigt;17;
müssten;17;
sollten;17;
milliarden;17;
organisationen;17;
recep;17;
tayyip;17;
not;17;
verwandte;17;
verletzte;17;
mitteilte;17;
geld;17;
leid;17;
geldspenden;17;
landes;17;
gemeldet;17;
gebäuden;17;
adana;17;
hauptstadt;16;
deutlich;16;
ebenfalls;16;
liegt;16;
großen;16;
sozialen;16;
erdbebengebieten;16;
experten;16;
verschütteten;16;
kommenden;16;
amt;16;
schrieb;16;
zuletzt;16;
sieht;16;
denen;16;
spd;16;
hilfslieferungen;16;
lassen;16;
videos;16;
retter;16;
brauchen;16;
macht;15;
wellen;15;
ganz;15;
starben;15;
verfügung;15;
obdachlos;15;
provinzen;15;
versuchen;15;
teil;15;
damals;15;
wenig;15;
bekommen;15;
deren;15;
solidarität;15;
direkt;15;
finden;15;
krisengebiet;15;
freitag;15;
bergung;15;
eingestürzt;15;
teilweise;15;
groß;15;
helfern;15;
schwere;15;
tausende;15;
gehe;15;
daten;15;
retten;15;
wissen;14;
material;14;
nahe;14;
spüren;14;
sprecher;14;
zelten;14;
wiederaufbau;14;
betonte;14;
ausmaß;14;
gemeinsam;14;
bleiben;14;
