Word;Frequency;
menschen;63;
mehr;54;
flutkatastrophe;43;
ahrtal;39;
bayern;29;
viele;28;
flut;26;
hochwasser;25;
sei;25;
rheinland-pfalz;24;
simbach;24;
jahr;24;
schon;22;
sagt;22;
deutschland;21;
2021;2;
juli;20;
nordrhein-westfalen;20;
euro;19;
neue;19;
rund;19;
wurden;19;
gut;18;
sollen;18;
millionen;18;
kommen;18;
geht;18;
sagte;17;
immer;17;
artikel;17;
betroffenen;17;
starkregen;17;
seit;16;
jahre;16;
wurde;16;
gemeinden;15;
zwei;15;
spd;15;
leben;15;
heute;15;
landkreis;14;
seien;14;
betroffen;14;
vergangenen;14;
schäden;14;
sirenen;13;
etwa;13;
jahren;13;
worden;13;
wegen;13;
gab;13;
region;13;
klimawandel;13;
beispiel;12;
häuser;12;
landrat;12;
überschwemmungen;12;
wasser;12;
kinder;12;
christian;12;
ministerpräsidentin;11;
bereits;11;
grünen;11;
amt;11;
spiegel;11;
besonders;11;
ort;11;
katastrophe;11;
milliarden;11;
westen;11;
ersten;10;
ahrweiler;10;
bayerischen;10;
gerade;10;
stadt;10;
derzeit;10;
müssen;10;
insgesamt;10;
schnell;10;
weniger;9;
inn;9;
heißt;9;
neuen;9;
sicherheit;9;
schutz;9;
einfach;9;
fünf;9;
stark;9;
dafür;9;
sowie;9;
familie;9;
ums;9;
tote;9;
mal;9;
enßlin;9;
erst;9;
vier;9;
woche;9;
scholz;9;
unwetter;9;
kommt;9;
dreyer;8;
wissen;8;
deutlich;8;
juni;8;
2016;8;
davon;8;
gibt;8;
außerdem;8;
prozent;8;
kamen;8;
beim;8;
platz;8;
helfen;8;
politik;8;
zunächst;8;
flächen;8;
steinmeier;8;
stellt;8;
frage;8;
kommando;8;
bernreiter;8;
cdu;7;
zurück;7;
drei;7;
sagen;7;
allerdings;7;
lange;7;
großen;7;
bevölkerung;7;
freistaat;7;
erklärt;7;
allein;7;
mitte;7;
hochwasserkatastrophe;7;
teilte;7;
pföhler;7;
anne;7;
unterstützung;7;
freundschaftshaus;7;
tagen;7;
wochen;7;
teile;7;
gebiete;7;
schwer;7;
katastrophenhilfe;7;
tiesler;7;
ebenfalls;7;
niederalteich;7;
gemacht;7;
kommunen;7;
könne;7;
dwd;7;
bringen;7;
gehen;7;
untersuchungsausschuss;6;
rücktritt;6;
darum;6;
tun;6;
aufgaben;6;
gegeben;6;
14.;6;
15.;6;
mittwoch;6;
hochwasserschutz;6;
kosten;6;
bereich;6;
geplant;6;
deggendorf;6;
bürgermeister;6;
sehen;6;
schützen;6;
obwohl;6;
wichtig;6;
bisher;6;
dabei;6;
geld;6;
fast;6;
lewentz;6;
zusammenhang;6;
videos;6;
einsatz;6;
angaben;6;
sommer;6;
gekommen;6;
weitere;6;
familien;6;
donau-ries;6;
besuch;6;
lkw;6;
wiederaufbau;6;
sieht;6;
bayerns;6;
getroffen;6;
bevölkerungsschutz;6;
br24;6;
belgien;6;
verlassen;6;
donnerstag;6;
betroffene;6;
zusammen;6;
folge;6;
ende;6;
große;6;
bundeswehr;6;
führung;6;
stellen;6;
universität;6;
ingolstadt;6;
kleine;6;
weiterhin;6;
grüne;6;
grad;6;
regen;6;
höhe;6;
versichern;6;
rundschau;6;
malu;5;
müsse;5;
folgen;5;
situation;5;
morgen;5;
ausmaß;5;
darauf;5;
arbeit;5;
zukunft;5;
bauen;5;
natürlich;5;
deshalb;5;
bayerische;5;
ziel;5;
konnten;5;
bund;5;
länder;5;
hofft;5;
gebäude;5;
rheinland-pfälzische;5;
2021.;5;
bundesfamilienministerin;5;
zehn;5;
regenfälle;5;
ganz;5;
kessler;5;
180;5;
deutschen;5;
sogar;5;
kaum;5;
lässt;5;
marienthal;5;
fertig;5;
sicher;5;
hilfe;5;
schmitt;5;
stefan;5;
schritt;5;
genau;5;
spenden;5;
beispielsweise;5;
infrastruktur;5;
sollten;5;
präsident;5;
blick;5;
landes;5;
wohnungen;5;
helfer;5;
letzten;5;
starben;5;
2013;5;
böden;5;
überflutung;5;
ganze;5;
aufgrund;5;
klimawandels;5;
verteilt;5;
müssten;5;
gebe;5;
zudem;5;
zerstört;5;
verstärkt;5;
hinaus;5;
geben;5;
zusätzliche;5;
land;5;
sturzfluten;5;
darüber;5;
könnten;5;
wer;5;
sinzig;5;
wochenende;5;
teilen;5;
konnte;5;
gebracht;5;
lehmann;5;
deutsche;5;
deutschlands;5;
pro;5;
demnach;5;
zerstörung;5;
verloren;5;
inzwischen;5;
eifel;5;
sieben;5;
einsatzkräfte;5;
wüst;5;
gewitter;5;
ziehen;4;
freitag;4;
betonte;4;
michael;4;
dritte;4;
wähler;4;
deren;4;
teilweise;4;
