Word;Frequency;
gletscher;158;
mehr;59;
alpen;55;
eis;55;
jahren;49;
jahr;47;
klimawandel;44;
meter;40;
menschen;38;
sei;37;
zwei;37;
seit;36;
schnee;32;
schon;31;
drei;29;
zugspitze;29;
immer;29;
schmelzen;28;
prozent;26;
forscher;26;
wasser;25;
bayerischen;25;
rund;23;
wurden;23;
sommer;22;
neue;22;
wurde;22;
sagte;22;
bayern;22;
gibt;21;
schneeferner;21;
erde;21;
geht;20;
bereits;20;
wissenschaftler;19;
deutlich;19;
worden;19;
studie;19;
besonders;19;
fünf;19;
seien;18;
etwa;18;
große;17;
weltweit;17;
grad;17;
winter;16;
gletscherschmelze;16;
könnten;16;
artikel;16;
alpengletscher;16;
deutschland;15;
ende;15;
mal;15;
dabei;15;
letzten;14;
schnell;14;
davon;14;
vergangenen;14;
weniger;14;
metern;14;
jahre;14;
klimawandels;14;
permafrost;14;
temperaturen;13;
zeigt;13;
berg;13;
folgen;13;
vier;13;
universität;13;
schneller;13;
marmolata;13;
lange;12;
neuen;12;
ziel;12;
fast;12;
glaziologe;12;
masse;12;
laut;12;
verloren;12;
mayer;12;
erderwärmung;12;
beispiel;11;
sagt;11;
ersten;11;
gipfel;11;
experten;11;
erwärmung;11;
konnten;11;
gletschern;11;
zehn;11;
heißt;11;
deutschen;11;
viele;11;
damals;11;
höhe;11;
stark;11;
gletschers;11;
toten;11;
heute;11;
dafür;11;
müssen;10;
kilometer;10;
gebiet;10;
jahrhunderts;10;
unterwegs;10;
zurück;10;
akademie;10;
zürich;10;
deshalb;10;
dolomiten;10;
verlieren;10;
pro;10;
hochgebirge;10;
kommt;9;
verändert;9;
einfluss;9;
warum;9;
wegen;9;
auswirkungen;9;
liegt;9;
pariser;9;
südlichen;9;
stelle;9;
beim;9;
region;9;
wissen;9;
italien;9;
betroffen;9;
emissionen;9;
schweizer;9;
sechs;9;
vergleich;9;
hektar;9;
verschwunden;9;
gehen;9;
dadurch;9;
drittel;9;
rehm;9;
allerdings;9;
bergsteiger;9;
gletscherabbruch;9;
leben;9;
weitere;9;
macht;9;
sehen;8;
deutsche;8;
gerade;8;
sogar;8;
hütte;8;
ergebnis;8;
meeresspiegel;8;
maßnahmen;8;
anstieg;8;
bergführer;8;
könne;8;
weit;8;
entwicklung;8;
christoph;8;
schmilzt;8;
abschmelzen;8;
aufgrund;8;
übrig;8;
ruß;8;
behörden;8;
lawine;8;
verletzt;8;
schmelzwasser;8;
200;8;
pflanzen;8;
wald;8;
direkt;8;
lassen;8;
rolle;8;
zeit;8;
millimeter;8;
rwe;8;
christian;7;
steigen;7;
europäischen;7;
kommen;7;
bisher;7;
zukunft;7;
zunächst;7;
fall;7;
