Word;Frequency;
wasser;495;
mehr;487;
hitze;483;
grad;447;
sei;346;
temperaturen;327;
jahr;288;
schon;277;
bayern;247;
etwa;232;
trockenheit;225;
sagt;223;
menschen;218;
seit;215;
artikel;211;
immer;206;
wegen;193;
prozent;189;
laut;188;
seien;184;
rund;183;
gibt;178;
jahren;173;
bereits;169;
sommer;164;
viele;158;
bäume;151;
besonders;151;
weniger;149;
gut;145;
wald;145;
wurden;144;
klimawandel;140;
stadt;136;
zwei;133;
deutschland;131;
beim;130;
müssen;130;
wurde;130;
landkreis;128;
beispiel;127;
ganz;124;
feuer;118;
bayerischen;114;
vergangenen;113;
sagte;113;
derzeit;111;
geht;108;
hitzewelle;108;
br24;107;
deutschen;106;
könnten;106;
dabei;105;
tagen;104;
drei;101;
hohen;99;
regierung;99;
sollen;97;
wenig;95;
sogar;95;
allerdings;94;
große;94;
heiß;93;
erst;93;
außerdem;92;
gerade;91;
kommt;89;
tag;89;
pro;89;
deshalb;89;
einfach;88;
woche;88;
sonne;87;
dafür;87;
unterfranken;87;
ende;86;
gefahr;84;
luft;84;
tage;84;
würzburg;83;
deutlich;83;
feuerwehr;83;
heißt;82;
aktuell;81;
fünf;80;
könne;79;
euro;79;
dwd;79;
schnell;78;
dürre;78;
heute;78;
polizei;78;
fische;78;
hektar;77;
gilt;76;
erklärt;75;
brand;75;
wochen;74;
großen;74;
zehn;74;
angaben;74;
deutsche;73;
vielen;73;
stark;72;
regionen;72;
neue;71;
mal;71;
boden;71;
problem;71;
jahre;71;
main;71;
kommen;71;
bayerns;70;
sehen;70;
folgen;69;
fast;69;
juli;69;
wochenende;69;
regen;68;
besser;67;
schatten;67;
oft;66;
heißen;66;
hohe;66;
wichtig;65;
zudem;65;
aufgrund;65;
davon;64;
mittwoch;64;
wetterdienst;64;
sorgen;63;
müsse;63;
donau;63;
worden;62;
waldbrandgefahr;62;
münchen;61;
gehen;61;
lassen;61;
waldbrände;61;
celsius;60;
wetter;60;
möglich;60;
pflanzen;60;
tiere;60;
körper;60;
sowie;60;
hoch;59;
zeit;59;
städte;59;
grund;59;
landwirtschaft;59;
liegt;59;
mehrere;59;
trinken;59;
darauf;58;
sollten;58;
betroffen;58;
erreicht;58;
weitere;57;
stehen;57;
sieht;57;
landwirte;57;
erwartet;57;
ersten;56;
temperatur;56;
insgesamt;56;
flammen;56;
kinder;56;
macht;55;
vier;55;
uhr;55;
wer;55;
lage;55;
donnerstag;55;
wäre;54;
nächsten;54;
geben;54;
müssten;53;
millionen;53;
region;53;
meter;53;
denen;53;
freitag;53;
regensburg;53;
zufolge;52;
teil;52;
letzten;52;
franken;52;
halten;52;
rechnen;52;
juni;51;
bleibt;51;
hitzewellen;51;
lange;50;
liter;50;
kommenden;50;
zukunft;50;
wann;50;
gemessen;50;
kleinen;49;
oberpfalz;49;
ernte;49;
wälder;48;
bäumen;48;
meisten;48;
stellen;48;
fall;48;
situation;48;
flüsse;48;
dadurch;47;
beispielsweise;47;
fläche;47;
hätten;47;
gebe;47;
august;47;
probleme;46;
bayerische;46;
nürnberg;46;
2018;46;
wasserwirtschaftsamt;46;
demnach;46;
klimawandels;45;
trocken;45;
dienstag;45;
pegel;45;
bund;44;
leiden;44;
tipps;44;
konnte;44;
waldbrand;44;
leben;43;
bekommen;43;
neben;43;
wohl;43;
folge;43;
extreme;43;
einsatz;43;
liste;43;
rundschau;43;
ort;42;
experten;42;
jedoch;42;
inzwischen;42;
früher;42;
eigentlich;42;
niedrige;41;
daher;41;
führen;41;
100;41;
extrem;41;
teilen;41;
flüssen;41;
bislang;40;
kommunen;40;
maßnahmen;40;
liegen;40;
städten;39;
lässt;39;
warnt;39;
gab;39;
nacht;39;
zeigen;38;
2022;38;
kaum;38;
freistaat;38;
brände;38;
studie;38;
schaffen;38;
michael;38;
bisher;38;
süden;38;
anhaltenden;38;
gewässer;38;
schlagwort;38;
tippen;38;
statt;37;
auswirkungen;37;
thema;37;
mindestens;37;
tun;37;
ebenfalls;37;
richtig;37;
beginn;37;
auto;37;
gar;36;
acht;36;
finden;36;
stunden;36;
raum;36;
trockenen;36;
teilte;36;
samstag;36;
montag;36;
natürlich;36;
sprecher;36;
seen;36;
gesundheit;36;
neuen;35;
winter;35;
weit;35;
knapp;35;
natur;35;
kühlen;35;
steht;35;
bleiben;35;
frühjahr;35;
heiße;35;
winzer;35;
fordert;35;
sonntag;35;
augsburg;34;
helfen;34;
nehmen;34;
nachmittag;34;
anfang;34;
groß;34;
mussten;34;
aktuellen;34;
erste;34;
aschaffenburg;34;
italien;34;
zusätzlich;33;
umwelt;33;
bevölkerung;33;
blick;33;
