Word,Frequency
hochwasser,211
wasser,202
mehr,191
donau,186
meldestufe,178
wurde,161
menschen,154
landkreis,145
sei,131
bayern,130
euro,119
wurden,117
stadt,116
rund,116
pegel,110
bereits,107
laut,97
straßen,94
erreicht,94
millionen,93
seien,93
heute,88
immer,85
schon,83
sollen,83
sagt,82
regen,82
viele,81
gibt,81
sagte,80
hochwasserschutz,79
meter,79
zwei,78
sowie,74
worden,73
schäden,73
artikel,71
nacht,70
regensburg,68
überschwemmungen,68
seit,67
gilt,66
drei,66
br24,66
etwa,65
müssen,64
wasserwirtschaftsamt,63
polder,62
wegen,62
land,61
kommen,61
kommt,60
könnten,57
jahren,57
keller,57
geht,56
ort,56
starkregen,56
beim,56
überflutet,55
betroffen,55
passau,54
jahr,54
insgesamt,54
derzeit,54
vergangenen,52
allerdings,52
betroffenen,51
steht,50
bayerischen,49
prozent,48
entlang,48
bund,48
häuser,47
anwohner,47
berchtesgadener,47
deshalb,46
großen,46
einfach,46
liegt,45
gut,45
außerdem,44
schnell,44
davon,43
ufer,43
rundschau,43
dabei,42
pro,42
beispiel,42
tagen,42
jahre,41
deggendorf,41
klimawandel,41
flüsse,41
erst,41
flächen,40
morgen,40
haus,40
deutschland,40
lage,39
flüssen,39
unwetter,39
simbach,39
vier,39
bereich,38
heißt,38
sogar,38
gesperrt,38
könne,38
maßnahmen,37
metern,37
feuerwehr,37
teil,37
wochenende,36
sehen,36
große,36
milliarden,36
neue,35
stark,35
juli,35
dafür,35
weitere,34
besonders,34
teilweise,34
gab,34
ersten,34
gemeinden,34
rheinland-pfalz,34
leben,34
uhr,33
100,33
bayerns,33
main,33
einsatz,33
gebäude,33
jedoch,33
schlamm,33
straubing,32
bürgermeister,32
bevölkerung,32
vielen,32
bisher,32
donauwörth,32
liste,32
zeit,31
besser,31
region,31
abend,31
experten,31
hochwassernachrichtendienst,31
sonntag,31
bad,31
zentimeter,31
juni,31
mehrere,31
müsse,31
schlagwort,31
tippen,31
flutpolder,30
behörden,30
csu,30
bleiben,30
bleibt,30
gegeben,30
ganz,30
schutz,30
fluss,30
erwartet,30
flutkatastrophe,30
weniger,29
stellen,29
dwd,29
halten,29
geben,29
knapp,29
kommunen,28
gemeinde,28
bayerische,28
zunächst,28
erste,28
möglich,28
mittwoch,28
quadratmeter,28
liter,28
woche,28
einsatzkräfte,28
inn,28
gerade,28
bäume,28
polizei,28
straße,28
oberpfalz,27
freitag,27
schützen,27
überschwemmt,27
ebenfalls,27
nächsten,27
samstag,27
kam,27
künftig,27
glauber,27
überschritten,27
wasserstand,27
schönau,27
münchen,27
nordrhein-westfalen,27
wassermassen,27
angaben,26
steigen,26
lassen,26
wetterdienst,26
fast,26
gestern,26
pegelstände,26
gehen,26
schaden,26
sieben,26
kelheim,26
umwelt,25
helfen,25
einzelne,25
gefahr,25
sieht,25
fünf,25
tage,25
cham,25
weiteren,25
hoch,25
2021,25
weiterhin,25
spd,25
regelmäßig,25
allgäu,25
bedeutet,24
mussten,24
teile,24
deutsche,24
westen,24
zufolge,24
kosten,24
neuen,24
regenfälle,24
kaum,24
größeren,24
letzten,24
seehofer,24
bürger,23
boden,23
ende,23
freistaat,23
flut,23
aktuellen,23
innerhalb,23
entspannt,23
hochwassers,23
regionen,23
montag,23
berchtesgaden,23
isar,23
laufe,23
fluten,23
hilfe,23
sagen,22
teilen,22
demnach,22
deutschen,22
nachmittag,22
niederbayern,22
mal,22
sicherheit,22
lässt,22
wohl,22
zusammen,22
hätten,22
pegelstand,22
königssee,22
unterstützung,22
soforthilfen,22
schifffahrt,22
abo,22
landwirte,21
damm,21
ganze,21
2013,21
projekt,21
traunstein,21
genau,21
2016,21
zurück,21
helfer,21
stand,21
herrmann,21
katastrophenschutz,21
gekommen,21
söder,21
auen,21
geplanten,20
fall,20
müssten,20
mindestens,20
erreichen,20
ausuferungen,20
gebiete,20
aktuell,20
donnerstag,20
inzwischen,20
kommenden,20
landkreise,20
bringen,20
darauf,20
stehen,20
neben,20
geld,20
bach,20
teilte,19
groß,19
grundwasser,19
zahlreiche,19
damals,19
zehn,19
erklärt,19
liegen,19
alpen,19
gerechnet,19
oberbayern,19
dagegen,19
schnee,19
wetter,19
raum,19
naturschutz,19
wochen,19
ahrtal,19
betonte,19
wissen,19
august,18
tag,18
gemacht,18
beiden,18
informationen,18
rechnet,18
200,18
folgen,18
rechnen,18
landshut,18
leicht,18
voraussichtlich,18
landkreisen,18
fallen,18
einsätze,18
unterfranken,18
überflutungen,18
direkt,18
allein,18
laufen,18
gebaut,18
katzau,18
münchsmünster,18
tun,18
iller,18
aufräumarbeiten,18
fließt,17
bundeswehr,17
landratsamt,17
oberfranken,17
warnungen,17
niederschläge,17
warnt,17
augsburg,17
temperaturen,17
deutlich,17
zukunft,17
wiesen,17
wann,17
dienstag,17
gewarnt,17
klar,17
versicherung,17
erklärte,17
aufgebaut,17
konnte,17
wasserwirtschaftsamtes,17
schwer,17
studie,17
salzach,17
klamm,17
bekommen,16
hektar,16
zeigen,16
städte,16
wichtig,16
kamen,16
ausbau,16
summe,16
gebe,16
bebaute,16
betrieb,16
sprecher,16
umweltminister,16
geplant,16
natürlich,16
deswegen,16
steigt,16
dauerregen,16
sorgen,16
sinken,16
sommer,16
sogenannte,16
hochwassermeldestufe,16
berichtet,16
fordert,16
thw,16
passiert,16
wenig,16
zeigt,16
staatsregierung,16
treffen,16
höhe,16
kleine,16
regierung,15
hohe,15
auswirkungen,15
vilshofen,15
neustadt,15
grad,15
eingestellt,15
garmisch-partenkirchen,15
stunden,15
thorsten,15
heftigen,15
nachdem,15
orten,15
bislang,15
mehreren,15
aufgrund,15
spenden,15
länder,15
luft,15
betroffene,15
stellt,15
bahn,15
kempten,15
kubikmeter,14
geschützt,14
wäre,14
sturzfluten,14
katastrophe,14
leiter,14
entwicklung,14
gewässer,14
mittelfranken,14
itz,14
geschlossen,14
franken,14
christian,14
prognosen,14
gar,14
verfügung,14
gestellt,14
lang,14
felder,14
grünen,14
nehmen,14
denen,14
deutschlands,14
beschädigt,14
sirenen,14
eigentlich,14
folge,14
geflutet,14
kleinen,14
sechs,14
ministerpräsident,14
bau,14
ums,14
soforthilfe,14
hilfen,14
günthert,14
wörnitz,14
aktuelle,13
flussabwärts,13
städten,13
ziel,13
pflanzen,13
regenfällen,13
extremen,13
thomas,13
gleichzeitig,13
nördlichen,13
prognose,13
ansteigen,13
situation,13
grundstücke,13
finden,13
zudem,13
schwaben,13
kleinere,13
niederbayerischen,13
trotz,13
nahe,13
kreis,13
wasserstände,13
höchste,13
aufgehoben,13
großer,13
bamberg,13
fest,13
neun,13
geplante,13
frage,13
technischen,13
hätte,13
mittlerweile,13
zerstört,13
autos,13
hälfte,13
kilometer,13
tauwetter,13
wolfgang,13
partnachklamm,13
raumordnungsverfahren,12
klimaschutz,12
rundfunk,12
ausmaß,12
unklar,12
entscheidung,12
aisch,12
wasser-,12
winter,12
schwere,12
erwarten,12
bäumen,12
südlichen,12
teils,12
wald,12
gemessen,12
wetterdienstes,12
warnen,12
anstieg,12
kleineren,12
hieß,12
mitte,12
gleich,12
böden,12
später,12
fahrbahn,12
problem,12
dadurch,12
konnten,12
darüber,12
entwurf,12
bereit,12
bundesregierung,12
zuletzt,12
wirklich,12
arbeiten,12
länge,12
minuten,12
polders,12
verhindern,12
ingolstadt,12
universität,12
vormittag,12
gewitter,12
infrastruktur,12
niemand,12
gebracht,12
sprecherin,12
getreten,12
nachhören,12
dazufügen,12
neu,11
statt,11
hochwasserkatastrophe,11
geführt,11
beispielsweise,11
eins,11
warnung,11
altmühl,11
starke,11
oberhalb,11
fällt,11
nächste,11
freien,11
führen,11
per,11
wähler,11
deiche,11
lange,11
vielerorts,11
mitteilte,11
hält,11
bekannt,11
sollten,11
saale,11
treten,11
art,11
bagger,11
zusätzlich,11
genutzt,11
genug,11
