Word,Frequency
lawine,78
lawinengefahr,58
wurden,44
sei,41
schnee,39
wurde,38
drei,35
lawinen,35
zwei,34
laut,30
menschen,29
alpen,29
pisten,28
polizei,27
gefahr,27
meter,26
artikel,26
unterwegs,26
mehr,24
worden,24
gelände,24
bayern,23
metern,23
skifahrer,22
informationen,22
verletzt,22
tour,22
gibt,22
lawinenwarndienst,22
österreich,21
rund,21
suche,20
zehn,20
sagt,20
müssen,20
lawinenabgang,19
schneemassen,19
weitere,19
wintersportler,19
dabei,19
immer,19
schneebrett,19
gruppe,18
etwa,18
mitgerissen,17
schwer,17
höhe,17
unglück,17
seien,17
bergwacht,17
sagte,17
verschüttet,16
vier,16
wer,16
bereits,16
verschütteten,15
konnten,15
lawinenlagebericht,15
männer,15
oberhalb,14
wegen,14
seit,14
piste,14
südtirol,14
vergangenen,14
wind,14
beiden,13
triebschnee,13
angaben,13
berg,13
winter,13
derzeit,13
stufe,13
erfasst,13
leben,12
bergrettung,12
jahre,12
konnte,12
bayerischen,12
große,12
personen,12
landkreis,12
krankenhaus,12
abseits,12
geht,12
tourengeher,12
skitourengeher,12
ersten,12
jahren,12
tirol,12
gekommen,11
nahe,11
zunächst,11
skigebiet,11
lawinenunglück,11
kommt,11
gilt,11
schon,11
bergen,11
deshalb,11
tal,11
geborgen,11
soldaten,11
teil,10
sowie,10
neuschnee,10
ausgelöst,10
einsatz,10
100,10
sonntag,10
begraben,10
mehrere,10
beim,10
beispiel,10
jahr,10
schneedecke,10
kam,10
freitag,9
hubschrauber,9
davon,9
dpa,9
deutsche,9
vorarlberg,9
außerdem,9
fünf,9
freien,9
risiko,9
bergführer,9
wochenende,9
ort,9
sicher,9
könnten,9
gefährlich,9
junge,9
schwachschicht,9
lawinenwarndienstes,9
rettungskräfte,8
hilfe,8
groß,8
heißt,8
wenig,8
weiteren,8
gehen,8
wanderer,8
gut,8
gebracht,8
frau,8
allgäuer,8
ausrüstung,8
minuten,8
schicht,8
samstag,8
teilte,8
dienstag,8
lech,8
demnach,7
mann,7
abgehen,7
mitteilte,7
österreichischen,7
befreien,7
einsatzkräfte,7
gemeinde,7
uhr,7
liegt,7
gesicherten,7
skitouren,7
finden,7
gerade,7
schweiz,7
land,7
macht,7
jedoch,7
auslösen,7
recka,7
zugspitze,7
wissen,7
zudem,7
inzwischen,7
erst,7
genau,7
paar,7
wetter,7
viele,7
allgäu,7
besser,7
richtige,7
lagen,7
oft,7
schneefällen,7
schnell,7
steilen,7
besonders,7
rettung,7
weniger,7
zahl,7
tot,7
vermissten,7
arlberg,7
verletzten,7
zentimeter,7
lindner,7
manuel,7
ums,6
opfer,6
unterhalb,6
sechs,6
leicht,6
angehörigen,6
großen,6
erste,6
löste,6
erhebliche,6
behörden,6
sprecher,6
aktuellen,6
alpenraum,6
allerdings,6
lawinenlage,6
lesen,6
thomas,6
dafür,6
weiß,6
jungen,6
dagmar,6
verlassen,6
video,6
franziska,6
täglich,6
region,6
