Word,Frequency
tornado,28
tornados,26
mehr,22
sagte,19
menschen,18
deutschland,15
schon,14
unwetter,13
wurden,12
schäden,12
immer,12
usa,11
seien,11
viele,11
mindestens,10
bundeswehr,10
dabei,10
f-35,10
leben,9
wetterdienst,9
besonders,9
worden,9
kommen,9
etwa,9
wurde,8
häuser,8
sei,8
kaufbeuren,8
bayern,8
schneise,7
biden,7
betroffen,7
sturm,7
verwüstung,7
gab,7
bäume,7
artikel,7
stadt,7
mehrere,7
tag,7
f-16,7
gibt,7
euro,7
windhose,7
zwei,7
moosburg,7
ort,7
br24,7
süden,6
ums,6
verletzt,6
angaben,6
schwere,6
gewitter,6
weitere,6
bundesstaat,6
hätten,6
geht,6
jahr,6
jahren,6
insgesamt,6
ukraine,6
außerdem,6
müssen,6
kurkow,6
luft,6
gerhard,6
amberger,6
superzelle,6
arkansas,5
hilfe,5
dach,5
zerstört,5
autos,5
rund,5
bürgermeister,5
samstag,5
sagt,5
gegeben,5
martin,5
ausbildung,5
kiew,5
bereits,5
deutlich,5
wegen,5
betroffenen,5
wald,5
sturmtief,5
ganze,4
verwüstungen,4
joe,4
bisher,4
stunde,4
kilometer,4
lange,4
mississippi,4
tote,4
möglich,4
kam,4
gouverneur,4
laut,4
boden,4
hinaus,4
neuen,4
frühen,4
demnach,4
kommandeur,4
fliegerhorst,4
luftwaffe,4
sieht,4
eurofighter,4
deshalb,4
ukrainische,4
knapp,4
zunächst,4
kampfjet,4
welt,4
druck,4
deutschen,4
wenige,4
braucht,4
spd,4
allerdings,4
fragen,4
entstehen,4
krieg,4
montag,4
uhr,4
haus,4
berichtete,4
rettungskräfte,4
gebiet,4
polizei,4
freising,4
paderborn,4
starke,4
sechs,4
waldbesitzer,4
kentucky,4
einfach,4
sehen,4
rundschau,4
spessart,4
affing,4
markus,4
damals,4
kamen,3
erklärte,3
folgen,3
gekommen,3
teilte,3
ortszeit,3
alabama,3
trümmer,3
schützen,3
warnt,3
chefin,3
sonntag,3
region,3
könnten,3
davon,3
stürme,3
erst,3
gilt,3
jahre,3
freitag,3
schlimm,3
fast,3
frau,3
us-präsident,3
bundesregierung,3
lang,3
selten,3
hagel,3
oberst,3
milewski,3
heißt,3
neue,3
rahmen,3
standort,3
langer,3
schwer,3
seit,3
erste,3
große,3
wann,3
zehn,3
arbeiten,3
russischen,3
gar,3
später,3
deutsche,3
leopard,3
nachrichten,3
tatsächlich,3
vorher,3
verbreitet,3
ganz,3
verschiedenen,3
jets,3
italiens,3
groß,3
entscheidung,3
kampfjets,3
nachrichtenagentur,3
afp,3
darin,3
probleme,3
sollen,3
warum,3
einsatz,3
kiesewetter,3
häufiger,3
früher,3
erinnert,3
andrej,3
schnell,3
woche,3
schaden,3
dächer,3
abgedeckt,3
stürzte,3
feuerwehr,3
gezogen,3
kreis,3
gemeinden,3
nacht,3
mal,3
drei,3
sogenannte,3
superzellen,3
höhe,3
starkregen,3
eher,3
franken,3
heftig,3
getroffen,3
passiert,3
regen,3
beshear,3
100,3
200,3
hinterlassen,3
zog,3
tragödie,3
schauen,3
beim,3
umgestürzt,3
situation,3
schlagwort,3
tippen,3
liste,3
helfer,3
naturverjüngung,3
freiwilligen,3
juliane,3
golling,3
zeigt,3
millionen,3
paar,3
staatsregierung,3
kolle,3
holz,3
fürther,3
stellen,3
originalton,3
westen,2
reihe,2
zahlreiche,2
notstand,2
staat,2
2.600,2
lagen,2
tennessee,2
neun,2
bestätigt,2
heftigen,2
windgeschwindigkeiten,2
320,2
stundenkilometern,2
mann,2
wohnwagen,2
weiteren,2
nationalen,2
betroffene,2
stürmen,2
erreichen,2
geschwindigkeit,2
110,2
pro,2
meteorologen,2
abend,2
wirbelsturm,2
rolling,2
fork,2
völlig,2
zerstörten,2
bislang,2
großer,2
teil,2
lebt,2
landes,2
hauses,2
biete,2
bild,2
herzzerreißend,2
rief,2
blieb,2
darüber,2
unwettern,2
möglicherweise,2
geben,2
heftige,2
katastrophenschutz,2
twitter,2
dutzende,2
leider,2
ändern,2
schrieb,2
behörde,2
gefegt,2
bestätigte,2
berichte,2
lesen,2
offiziell,2
vorgänger,2
luftwaffenstandort,2
kommt,2
eigenen,2
worten,2
stehen,2
vielen,2
personal,2
technische,2
vergangenen,2
zeit,2
hieß,2
bekannt,2
halten,2
sanitätsregiment,2
feldjägerkompanie,2
damaligen,2
inzwischen,2
klar,2
radartechniker,2
lechfeld,2
unklar,2
ergebnis,2
liegt,2
17.,2
juni,2
streitkräfte,2
orten,2
präsentieren,2
derzeit,2
zivile,2
produktion,2
waffensysteme,2
munition,2
ersatzteile,2
westliche,2
staaten,2
voran,2
regierung,2
modelle,2
ersetzen,2
stellvertretende,2
-jets,2
dürfte,2
modell,2
bestände,2
abgeben,2
legt,2
oben,2
luftkampf,2
ende,2
gestellt,2
flugzeug,2
4.500,2
produziert,2
viper,2
verschiedene,2
unbedingt,2
lieferung,2
gerade,2
lockheed,2
tarnkappenbomber,2
alternde,2
tornado-flotte,2
kommenden,2
beschaffung,2
schreiben,2
kritik,2
f-35-beschaffung,2
mehrkosten,2
verzögerungen,2
mögliche,2
zulassung,2
genannt,2
sprecher,2
kündigte,2
verteidigungsministerium,2
14.,2
tornado-nachfolge,2
gefahr,2
verteidigungsministerin,2
lambrecht,2
wirft,2
christian,2
cdu,2
lässt,2
lösung,2
heute,2
erklärt,2
wäre,2
beispiel,2
treten,2
fährt,2
gehabt,2
tagebuch,2
wohl,2
ersten,2
beobachter,2
erleben,2
schwankt,2
zierikzee,2
teilten,2
rettungsdienste,2
spur,2
straßen,2
sender,2
fernzuhalten,2
dachziegel,2
gestern,2
teile,2
danach,2
landkreis,2
baden-württemberg,2
starken,2
zimmerhof,2
sprecherin,2
vier,2
morgen,2
landshut,2
busse,2
nachmittag,2
dauert,2
suchten,2
darauf,2
windhosen,2
wetter,2
br24-redaktion,2
bilder,2
macht,2
halbe,2
sprechen,2
windgeschwindigkeit,2
meistens,2
gegensatz,2
stunden,2
wind,2
ungewöhnlich,2
einstellen,2
bildern,2
genau,2
überhaupt,2
medien,2
vielleicht,2
gefühl,2
aktuell,2
oberpfalz,2
glimpflicher,2
kaltfront,2
vorab,2
minuten,2
unwetterwarnung,2
reicht,2
aufnehmen,2
hält,2
alpen,2
häufig,2
mittwoch,2
bayerischen,2
bäumen,2
bundesstaaten,2
cnn,2
illinois,2
entstanden,2
unterstützung,2
verlieren,2
riesiges,2
trümmerfeld,2
zerstörung,2
material,2
gingen,2
gebäude,2
nahe,2
italienische,2
pantelleria,2
zivilschutzbehörde,2
verletzten,2
gunzenhausen,2
trichterwolke,2
wolken,2
fall,2
mehreren,2
österreich,2
gewaltige,2
1.500,2
abonnieren,2
dazustellen,2
bergwaldprojekts,2
eichenkultur,2
fenstern,2
fassade,2
winter,2
250,2
winklhofer,2
aufgebaut,2
mahnmal,2
hotelchefin,2
18.,2
august,2
meisten,2
passau,2
festmeter,2
genutzt,2
augenwischerei,2
horst,2
arnold,2
förster,2
hurrikans,2
grad,2
monströses,1
sturmsystem,1
mittleren,1
ausgelöst,1
verheerender,1
zurückließen,1
personen,1
gouverneurin,1
sarah,1
huckabee,1
sanders,1
bat,1
präsident,1
bundes,1
hauptstadt,1
little,1
rock,1
bürgermeisters,1
wohn-,1
geschäftshäuser,1
verheerend,1
todesopfer,1
gewütet,1
270,1
landschaft,1
gepflügt,1
samstagabend,1
getötet,1
mehrfach,1
überschlug,1
hunderte,1
