Word,Frequency
beben,34
menschen,30
fukushima,30
erdbeben,28
mehr,22
worden,20
stärke,20
tsunami,20
rund,18
sei,16
wurde,16
kilometer,16
wurden,15
euro,15
pflegeversicherung,13
japan,13
könnten,12
tiefe,10
kam,10
länder,10
jahr,10
deutschland,10
milliarden,10
region,10
ausbruch,10
lag,9
sagte,9
drei,9
schäden,9
zwei,9
welt,9
prozent,9
dabei,9
schon,9
folge,9
ereignete,9
2011,9
tsunami-warnung,9
palma,9
lage,8
weitere,8
geht,8
jahren,8
damals,8
einfach,8
gab,7
kilometern,7
epizentrum,7
höhe,7
angaben,7
seien,7
hauptstadt,7
krankenversicherung,7
pflege,7
thema,7
liegt,7
ersten,7
immer,7
mal,7
russland,7
hunger,7
allein,7
land,7
viele,7
betroffenen,7
japanische,7
behörde,7
ortszeit,7
tokio,7
jahre,7
alaska,7
präsident,6
leben,6
teilte,6
geld,6
müssen,6
baerbock,6
getreide,6
bereits,6
ukraine,6
bebens,6
elf,6
11.,6
märz,6
fast,6
zunächst,6
warnung,6
genau,6
wellen,6
schweren,5
usgs,5
häuser,5
zentrum,5
september,5
behörden,5
spd,5
gesetzlichen,5
mindestens,5
etwa,5
laut,5
dadurch,5
grüne,5
denken,5
häfen,5
gehen,5
lange,5
tepco,5
erschüttert,5
japans,5
meter,5
zufolge,5
stadt,5
nordosten,5
erschütterungen,5
eher,5
tonga,5
eruptionen,5
wasser,5
zehn,5
entfernt,5
haiti,5
jossi,5
sprache,5
gehirn,5
elisabeth,5
us-erdbebenwarte,4
pazifikküste,4
ums,4
erklärte,4
mexiko-stadt,4
bislang,4
zerstört,4
platten,4
bundesgesundheitsminister,4
lauterbach,4
gibt,4
situation,4
aktuell,4
bayern,4
hohen,4
seit,4
hilfe,4
dafür,4
politik,4
2022,4
beitragsbemessungsgrenze,4
allerdings,4
kommen,4
unwahrscheinlich,4
geben,4
derzeit,4
annalena,4
özdemir,4
hungerkrise,4
lassen,4
darum,4
zeit,4
verletzt,4
später,4
meteorologische,4
kyodo,4
atomkraftwerk,4
daiichi,4
gebieten,4
entfernten,4
diesmal,4
kurz,4
flutwelle,4
mittwoch,4
schlagartig,4
tsunamis,4
erdbebens,4
vulkanausbruch,4
twitter,4
inzwischen,4
ort,4
frage,4
heute,4
opfer,4
wirklich,4
macht,4
nutzen,4
frames,4
wehling,4
schlagwort,4
aktiviert,4
parteien,4
lösungen,4
br24,4
rundschau,4
nahe,3
grenzen,3
metern,3
hafenstadt,3
gebäuden,3
betreiber,3
gerade,3
bewohner,3
verheerenden,3
beiden,3
19.,3
regelmäßig,3
hunderte,3
pazifischen,3
ozean,3
insgesamt,3
all,3
laufe,3
nächsten,3
kiefer,3
aktuelle,3
zahlen,3
heißt,3
kosten,3
sogar,3
steigen,3
pro,3
bezahlen,3
durchschnittliche,3
holetschek,3
csu,3
sozialhilfe,3
lang,3
könne,3
städte,3
einnahmen,3
reform,3
kassen,3
wäre,3
reicht,3
braucht,3
sehe,3
zusammen,3
möglichkeiten,3
letzten,3
artikel,3
klar,3
erhöhung,3
markus,3
lösen,3
deutlich,3
gesamte,3
blockiert,3
ukrainische,3
außenministerin,3
vielen,3
ländern,3
südens,3
nothilfe,3
probleme,3
langfristig,3
russischen,3
darauf,3
transportiert,3
besser,3
großen,3
zug,3
müssten,3
millionen,3
produktion,3
niemand,3
elmau,3
atomruine,3
gefahr,3
nhk,3
berufung,3
reaktoren,3
nacht,3
aufgehoben,3
erneut,3
mittwochabend,3
miyagi,3
feueralarm,3
mitteilte,3
südlich,3
zudem,3
jedoch,3
bisher,3
entgleiste,3
todesopfer,3
hieß,3
berichte,3
fiel,3
vorübergehend,3
"7,3",3
gewaltigen,3
verwüstet,3
katastrophe,3
japaner,3
registriert,3
regierung,3
shinkansen,3
weltweit,3
oktober,3
2004,3
küste,3
seismologe,3
bohnhoff,3
zeigten,3
starke,3
stärksten,3
unerwartetes,3
prozess,3
ausgeschlossen,3
größeres,3
20.000,3
genannten,3
aktuellen,3
nachdem,3
spüren,3
akw,3
wissenschaftler,3
nachbeben,3
messbar,3
zahlreichen,3
hpa,3
ganz,3
hören,3
wenig,3
küsten,3
erdstoß,3
lava,3
cumbre,3
vieja,3
hintergrund,3
erde,3
denen,3
lässt,3
ätna,3
her,3
weiterhin,3
haitis,3
sollen,3
erreichen,3
usa,3
naturkatastrophen,3
"6,2",3
2016,3
kommenden,3
kernenergie,3
netz,3
palu,3
erdstöße,3
rede,3
stuttgarter,3
komponist,3
wieler,3
intendant,3
stuttgart,3
tun,3
mittel,3
sowie,3
westküste,3
feuerring,3
honduras,3
tippen,3
liste,3
weah,3
taylor,3
mexiko,2
heimgesucht,2
michoacan,2
colima,2
gefährliche,2
mexikos,2
mensch,2
bundesstaat,2
berichteten,2
mexikanischen,2
stunde,2
erst,2
erdbeben-übung,2
jahrestag,2
1985,2
2017,2
getötet,2
starben,2
meisten,2
fünf,2
hätte,2
karl,2
finanzen,2
gut,2
gernot,2
bereich,2
heimen,2
kinder,2
privaten,2
thomas,2
pflegeheimen,2
gesetzliche,2
gezahlt,2
preise,2
lebensmittel,2
führen,2
stationären,2
600,2
monat,2
eigenanteil,2
klaus,2
nennt,2
leisten,2
beantragen,2
buchstäblich,2
gearbeitet,2
eigenbeteiligung,2
januar,2
gilt,2
kommunen,2
problem,2
teuer,2
einführung,2
gedacht,2
ausgaben,2
sozialen,2
soziale,2
defizit,2
58.050,2
bekommt,2
findet,2
krankenkasse,2
unterfinanzierung,2
art,2
bürgerversicherung,2
müsste,2
koalitionsvertrag,2
grünen,2
2023,2
konkrete,2
steht,2
satz,2
luft,2
beitrag,2
aufs,2
kommt,2
sozialversicherungen,2
größte,2
einzelmaßnahmen,2
beitrags-tsunami,2
minister,2
gkv,2
defizits,2
versicherten,2
schlug,2
allgemeinen,2
anhebung,2
dahmen,2
spiel,2
schaffen,2
darüber,2
ende,2
reinhardt,2
"0,3",2
prozentpunkte,2
dienstag,2
zusatzbeitrag,2
wohl,2
teil,2
fest,2
daneben,2
gleich,2
berlin,2
ministerium,2
internationale,2
landwirtschaft,2
svenja,2
schulze,2
cem,2
drohende,2
nutzt,2
kriegswaffe,2
hält,2
globalen,2
russische,2
mehrere,2
moment,2
ernte,2
außerdem,2
unterstützt,2
schiffe,2
verlassen,2
marine,2
angst,2
minen,2
trotzdem,2
vereinten,2
nationen,2
weniger,2
waggons,2
umgeladen,2
transport,2
anteil,2
direkt,2
meer,2
süden,2
bekämpft,2
bundeslandwirtschaftsminister,2
vielmehr,2
nahrungsmittel,2
ähnlich,2
westen,2
verloren,2
sagt,2
hungern,2
deshalb,2
bessere,2
bauern,2
besseren,2
hand,2
bald,2
statt,2
weizen,2
g7-gipfel,2
signal,2
natürlich,2
gar,2
bleiben,2
dürfte,2
gegeben,2
japanischen,2
morgen,2
zerstörten,2
genaue,2
ermittelt,2
erhöhten,2
donnerstag,2
starken,2
späten,2
stunden,2
präfekturen,2
frühen,2
donnerstagmorgen,2
entsprechenden,2
turbinengebäude,2
zwölf,2
pumpen,2
unregelmäßigkeiten,2
bord,2
medienberichten,2
berichtete,2
verletzten,2
mann,2
präfektur,2
gestorben,2
lagen,2
zahlreiche,2
krankenhäuser,2
gebracht,2
haushalten,2
strom,2
aus.das,2
tag,2
dreifachkatastrophe,2
asiatischen,2
inselreiches,2
ausgelösten,2
kernschmelzen,2
inselbewohnern,2
mitternacht,2
hohe,2
richtete,2
notfallstab,2
stark,2
sehen,2
fall,2
meteorologischen,2
verhältnisse,2
mittelgroß,2
marco,2
potsdamer,2
gfz,2
schweres,2
ereignis,2
betonte,2
erdplatte,2
schiebe,2
aufgehalten,2
verhakten,2
sammele,2
jahrhunderten,2
energie,2
entlade,2
