Word,Frequency
unwetter,303
wurden,278
wurde,237
schäden,202
landkreis,197
bäume,196
sei,195
bayern,190
menschen,186
straßen,185
feuerwehr,184
mehr,180
wasser,179
seien,172
wegen,171
laut,170
starkregen,159
polizei,158
rund,156
keller,155
gewitter,150
worden,140
sturm,139
sagte,138
mehrere,131
kreis,131
dwd,128
nacht,126
gab,124
regen,121
stadt,121
wetterdienst,118
immer,116
überschwemmungen,114
betroffen,111
etwa,110
verletzt,106
zwei,105
br24,102
artikel,101
hagel,98
sowie,96
deutsche,96
euro,96
kam,91
angaben,90
mussten,87
einsätze,86
heute,86
viele,86
dabei,81
gibt,79
schon,78
bereits,78
uhr,77
gesperrt,75
pro,74
abend,73
jahr,73
oberpfalz,72
wetter,71
seit,71
schwere,70
baum,70
besonders,69
teile,69
autos,69
sturmböen,67
ort,66
grad,66
hochwasser,66
einfach,66
beschädigt,64
weitere,64
deutschen,64
ersten,63
bayerns,63
müssen,63
teilen,62
kommen,62
feuerwehren,61
sprecher,61
außerdem,61
drei,61
millionen,61
insgesamt,61
freitag,60
leben,60
teilte,60
möglich,60
deutschland,60
bahn,60
einsatzkräfte,59
schweren,59
land,59
mal,59
bayerischen,59
teilweise,59
mindestens,58
wassermassen,58
sollen,57
nachmittag,56
region,56
einsatz,55
100,55
überflutet,54
erst,54
schaden,54
stunden,53
heftigen,53
stand,53
niemand,52
zahlreiche,52
quadratmeter,51
umgestürzte,50
allerdings,50
beispiel,50
getroffen,50
passau,50
große,50
liste,50
rundschau,50
niederbayern,49
teils,49
straße,49
häuser,49
morgen,49
auto,48
könnten,48
samstag,48
sehen,48
wald,48
schlagwort,48
tippen,48
einsätzen,47
oberbayern,47
betroffenen,47
montag,47
derzeit,47
haus,47
sagt,47
münchen,47
vergangenen,47
zeit,47
vier,47
süden,47
liter,47
unwettern,47
wind,46
deshalb,46
meter,46
jahren,46
zunächst,46
km/h,45
geht,45
beim,45
ums,45
sonntag,45
warnt,44
stunde,44
kamen,44
ganz,44
schwer,44
bürgermeister,44
landshut,43
gilt,43
heftige,43
demnach,43
regenfälle,43
gegeben,43
konnte,43
davon,43
dächer,42
innerhalb,42
böen,42
landkreise,42
gut,41
zudem,41
garmisch-partenkirchen,41
gefahr,41
starken,40
bereich,40
tagen,40
kinder,40
zufolge,40
stark,40
starke,39
bad,39
sicherheit,39
wochenende,39
könne,39
heißt,38
gebäude,38
klimawandel,38
dienstag,38
behörden,38
hätten,38
fünf,37
gewittern,37
bäumen,37
ausrücken,37
bleibt,37
oberfranken,37
teil,37
allein,37
lage,37
woche,37
zehn,36
unwetterwarnung,36
ebenfalls,36
gekommen,36
erwartet,36
mann,36
richtung,35
westen,35
raum,35
bleiben,35
vollgelaufene,35
gestern,34
schnell,34
donnerstag,34
inzwischen,34
geschlossen,34
milliarden,34
kommt,34
aufgrund,34
gemeinden,34
überflutungen,33
sogar,33
erneut,33
temperaturen,33
meteorologen,33
jedoch,33
voll,33
verletzte,32
schwaben,32
zentimeter,32
regionen,32
mittwoch,32
aktuellen,32
gemeinde,32
zerstört,32
juli,32
frühen,31
regensburg,31
zuvor,31
großen,31
erklärte,31
rechnen,31
mitteilte,30
dach,30
leicht,30
fast,30
freistaat,30
sollten,30
stehen,30
jahre,30
später,30
freien,30
überschwemmt,30
hoch,30
mehreren,29
unterfranken,29
örtlich,29
geben,29
alpen,29
augsburg,29
fenster,29
neue,29
rettungskräfte,29
wann,29
schlamm,29
leitstelle,29
erreicht,28
lassen,28
warnung,28
regelmäßig,28
beiden,28
weniger,28
juni,28
zeitweise,28
norden,27
blitz,27
äste,27
unwetterschäden,27
strom,27
gezogen,27
bisher,27
minuten,26
höhe,26
aktuell,26
tornados,26
weiteren,26
gegenstände,26
hilfe,26
ende,26
berichtete,26
stellen,26
komplett,26
frau,26
hagelkörner,26
abo,26
nördlichen,25
cham,25
autofahrer,25
tag,25
bayerische,25
meldestufe,25
gerade,25
darauf,25
kosten,25
wetterdienstes,25
erdrutsche,25
landkreisen,25
hof,25
experten,25
gingen,25
kurz,25
orkanböen,25
konnten,24
ging,24
acht,24
blieb,24
kilometern,24
mittelfranken,24
berchtesgadener,24
südlichen,24
pegel,24
osten,24
erste,24
beispielsweise,24
denen,24
folgen,24
grund,24
sieben,24
gebracht,24
vielen,24
ufer,24
berichtet,24
insel,24
groß,24
200,24
dazufügen,24
einsatzzentrale,23
knapp,23
flüssen,23
unwetters,23
tornado,23
gerechnet,23
meisten,23
ganze,23
stadtgebiet,23
fest,23
regenfällen,23
darunter,23
drohen,23
allgäu,23
gemeldet,23
geröll,23
kilometer,23
aufräumarbeiten,23
fahrbahn,22
neben,22
polizeisprecher,22
weiterhin,22
orkanartigen,22
warnungen,22
halten,22
verursacht,22
niederschläge,22
gebiete,22
erklärt,22
anwohner,22
hieß,22
150,22
nordrhein-westfalen,22
franken,22
müsse,22
tage,22
sechs,22
nürnberg,22
genau,22
stürzte,22
schweinfurt,22
größere,22
abonnieren,22
meldungen,21
glimpflich,21
fielen,21
ziehen,21
bislang,21
späten,21
orkan,21
hohe,21
wochen,21
steht,21
fiel,21
schutz,21
direkt,21
informationen,21
prozent,21
zog,21
überflutete,21
klamm,21
vollgelaufen,21
unterführung,21
luft,21
versicherung,21
münchner,21
hamburg,21
geführt,20
personen,20
kleinere,20
ansbach,20
bayreuth,20
2021,20
gehen,20
deutschlands,20
lässt,20
deutlich,20
damals,20
folge,20
neuen,20
rosenheim,20
traunstein,20
haushalte,20
standen,20
vielerorts,20
coburg,20
liegen,20
unwetterwarnungen,20
galt,20
kurzer,20
sprecherin,20
liefen,20
kellern,19
lagen,19
einzelne,19
flächen,19
betroffene,19
sagen,19
zahl,19
letzten,19
nächsten,19
häusern,19
entstehen,19
schwandorf,19
fahrzeuge,19
unterwegs,19
bamberg,19
hurrikan,19
windgeschwindigkeiten,19
größeren,19
landratsamt,19
entwurzelt,19
partnachklamm,19
heftigem,18
nahe,18
aktuelle,18
örtliche,18
schützen,18
gesorgt,18
bauzäune,18
beginn,18
dafür,18
bringen,18
sturzfluten,18
bürger,18
regierung,18
inn,18
lange,18
freyung-grafenau,18
bekannt,18
zusammen,18
warnte,18
dauerregen,18
rheinland-pfalz,18
boden,18
schlammlawinen,18
überrascht,18
umgestürzter,18
august,18
sachweh,18
strecke,18
moosburg,18
trump,18
finden,17
her,17
gebiet,17
gebäuden,17
integrierten,17
ils,17
situation,17
metern,17
betrieb,17
eingestellt,17
sturms,17
abgedeckt,17
macht,17
erdrutsch,17
per,17
wälder,17
deswegen,17
csu,17
örtlichen,17
suche,17
gesamten,17
medien,17
donau,17
polizeipräsidiums,17
furth,17
herausgegeben,17
überschwemmte,17
treffen,17
gewarnt,17
verlassen,17
wenig,17
insbesondere,17
problem,17
helfen,17
zieht,17
wenige,17
sturmtief,17
nachhören,17
meldet,16
meist,16
elf,16
120,16
alpenrand,16
etliche,16
beschäftigt,16
blieben,16
zahlreichen,16
pegnitz,16
wer,16
zahlt,16
sturmschäden,16
tote,16
wohl,16
sieht,16
ausgelöst,16
erdrutschen,16
landes,16
vermisst,16
starker,16
züge,16
strecken,16
stundenkilometern,16
stromleitungen,16
liegt,16
nie,16
mitte,16
orten,16
unterstützung,16
gar,16
mitgerissen,16
probleme,16
paar,16
besteht,16
300,16
sonne,16
rundfunk,16
müssten,16
daher,16
hintergründe,16
irma,16
merkel,16
bundesstraße,15
neustadt,15
mittag,15
heftiger,15
ganzen,15
würzburg,15
wetterlage,15
bund,15
gebieten,15
klimawandels,15
frage,15
toten,15
eher,15
bevölkerung,15
besser,15
fluten,15
fahren,15
bäche,15
warnstufe,15
gefallen,15
sonntagabend,15
mittlerweile,15
heftig,15
erreichen,15
oft,15
berichten,15
fahrzeug,15
gebe,15
lag,15
höchste,15
michael,15
erwarten,15
pumpen,15
bahnverkehr,15
tief,15
füssen,15
tunnel,15
namen,15
dazustellen,15
krankenhaus,14
deren,14
kleineren,14
stürme,14
bundesstaat,14
entspannt,14
feuerwehrleute,14
auftreten,14
fällt,14
fall,14
sichern,14
berlin,14
mitarbeiter,14
unfälle,14
kommunen,14
vorhersagen,14
app,14
nähe,14
gerettet,14
zugverkehr,14
vermeiden,14
städte,14
usa,14
fällen,14
flüge,14
hunderte,14
kaltfront,14
überfluteten,14
baden-württemberg,14
soforthilfen,14
wenigen,14
lediglich,14
br-wetterexperte,14
rechnet,14
laufe,14
unklar,14
schauer,14
freistaats,14
verletzten,14
spd,14
superzellen,14
oben,14
türen,14
regenwasser,14
rundschau-magazin,14
arzberg,14
riss,13
neumarkt,13
dachziegel,13
bächen,13
stürmisch,13
dagegen,13
leer,13
neu,13
versicherer,13
bevor,13
wiederaufbau,13
extremwetter,13
hitze,13
danach,13
passiert,13
sicher,13
hundert,13
umgestürzt,13
wasserwirtschaftsamt,13
deggendorf,13
schule,13
sachschäden,13
mitternacht,13
führen,13
sorgten,13
entstanden,13
starben,13
einstellen,13
flüsse,13
dürfte,13
dauereinsatz,13
kleine,13
königssee,13
extremen,13
teilt,13
flughafen,13
bringt,13
warnen,13
spricht,13
extrem,13
hauptsächlich,13
plötzlich,13
möglichst,13
lokal,13
umgestürzten,13
donnerstagabend,13
erkenntnissen,13
bach,13
bob-,13
angerichtet,13
tun,13
mai,13
nachrichten,13
thema,13
extreme,13
verspätungen,13
wunsiedel,13
berchtesgaden,13
texas,13
ortsteil,12
sprach,12
stürzten,12
blitzschlag,12
zweiten,12
heftiges,12
brand,12
hochwassernachrichtendienst,12
vereinzelt,12
sogenannte,12
tatsächlich,12
katastrophe,12
ausmaß,12
landwirtschaft,12
dürre,12
statt,12
sorgen,12
rief,12
notstand,12
rottal-inn,12
geplant,12
trotz,12
gestrichen,12
vorerst,12
aufgehoben,12
verkehr,12
schnee,12
fluss,12
tot,12
hausrat,12
laufen,12
anfang,12
weit,12
binnen,12
wolken,12
vormittag,12
freising,12
klar,12
gesamte,12
aufnehmen,12
hilfswerk,12
geschwindigkeiten,12
bahnstrecke,12
glück,12
gelände,12
landkreises,12
kanalisation,12
sachschaden,12
weiteres,12
stadtteil,12
bekommen,12
gleich,12
kempten,12
dienstagabend,12
traf,12
lkw,12
notrufe,12
sorgte,11
gestürzt,11
mitteilt,11
waldnaab,11
fahrer,11
höheren,11
hinweggezogen,11
weitgehend,11
sicherheitsgründen,11
besucher,11
häufig,11
hätte,11
wohnung,11
flutkatastrophe,11
beide,11
obwohl,11
alarmiert,11
bestimmte,11
staatsregierung,11
vermissten,11
verschiedene,11
2016,11
natürlich,11
entlang,11
schulen,11
lkr,11
arbeit,11
bewohner,11
1.000,11
gefunden,11
familie,11
gegend,11
geregnet,11
thomas,11
eingeschlossen,11
meldete,11
passagiere,11
verwüstet,11
einsatzkräften,11
los,11
zwölf,11
lebensgefahr,11
eingeschlagen,11
oberstdorf,11
trocken,11
ausfallen,11
langsam,11
stufe,11
gefahren,11
alpenraum,11
kommenden,11
eigenen,11
130,11
arbeiten,11
innenstadt,11
franz,11
beseitigen,11
muren,11
gesichert,11
superzelle,11
zogen,11
versuchen,11
ministerpräsident,11
freiwilligen,10
schlug,10
twitter,10
dutzende,10
zahlen,10
voraussichtlich,10
fallen,10
gewitters,10
relativ,10
steigt,10
sperrung,10
bedeutet,10
ebenso,10
rodelbahn,10
winter,10
nachbarn,10
informiert,10
gemacht,10
dennoch,10
eigentlich,10
früh,10
dadurch,10
daten,10
gemessen,10
präsident,10
überschwemmten,10
helfer,10
begrenzt,10
leute,10
gleichzeitig,10
flut,10
starkem,10
schneefall,10
hält,10
amberg-sulzbach,10
polizeipräsidium,10
entfernt,10
melden,10
niederschlagsmengen,10
samstagabend,10
zwischenzeitlich,10
weite,10
politik,10
voraus,10
dringend,10
nordosten,10
geschwindigkeit,10
starb,10
südosten,10
weiten,10
südbayern,10
risiko,10
aufenthalt,10
verheerenden,10
hinterlassen,10
bilanz,10
zeigt,10
hektar,10
waldbesitzer,10
selten,10
anfrage,10
treten,10
verwüstung,10
vorübergehend,10
vollgelaufenen,10
barbara,10
unglück,10
abgebrochen,10
rückten,10
thw,10
einzelnen,10
gehe,10
massiven,10
gefährlich,10
versucht,10
unterbrochen,10
amberg,10
augenzeugen,10
schwerpunkt,10
brücken,10
wohnungen,10
trifft,10
leiter,10
gerhard,10
stärksten,10
lichtenfels,10
see,10
gespräch,10
möglicherweise,10
mittleren,10
wissen,10
stefan,10
lorenz,10
saulgrub,10
fernverkehr,10
niedersachsen,10
halfing,10
april,10
waldmünchen,10
rauchmelder,10
friederike,10
landrat,10
seehofer,10
dachstuhl,9
fahrbahnen,9
insassen,9
unverletzt,9
tirschenreuth,9
gerüsten,9
hochspannungsleitungen,9
darüber,9
schrieb,9
behörde,9
kissingen,9
kitzingen,9
main,9
ausuferungen,9
entwarnung,9
windsheim,9
einschränkungen,9
oberhalb,9
fährt,9
richtig,9
entstandenen,9
weist,9
genaue,9
hilft,9
orte,9
nächste,9
ahrtal,9
infolge,9
2018,9
opfer,9
künftig,9
andreas,9
dauert,9
völlig,9
entwicklung,9
gestellt,9
abgesagt,9
simbach,9
handelt,9
ostbayern,9
unterricht,9
nördlich,9
eingerichtet,9
orkanartige,9
kalifornien,9
september,9
fürth,9
alter,9
schneller,9
geschäfte,9
unfällen,9
glätte,9
sicht,9
östlichen,9
südwesten,9
ostallgäu,9
heimgesucht,9
stärke,9
casamicciola,9
stellte,9
gelegenen,9
kleinen,9
meer,9
fanden,9
schweres,9
mure,9
geld,9
stellt,9
toter,9
bild,9
tropensturm,9
montagabend,9
vorbereitet,9
angekündigt,9
umliegenden,9
niederschlag,9
nachfrage,9
vollgelaufener,9
feuer,9
geborgen,9
berufsfeuerwehr,9
befreit,9
ingolstadt,9
überall,9
schlimm,9
österreich,9
regens,9
sofort,9
kreuz,9
getötet,9
geblieben,9
gerufen,9
regenmengen,9
freitagabend,9
gullideckel,9
stattfinden,9
offenbar,9
integrierte,9
sogenannten,9
brk,9
davor,9
sorgt,9
länger,9
kaum,9
überblick,9
vorbei,9
nationalparkverwaltung,9
wege,9
momentan,9
behinderungen,9
nina,9
ausgerückt,9
wirbelsturm,9
führt,9
ländern,9
stecken,9
oberland,9
sturmflut,9
catania,9
hinzufügen,9
harvey,9
verlief,8
weiterer,8
städten,8
benachbarten,8
umgefallene,8
räumen,8
droht,8
untermain,8
kräftigen,8
verkehrsbehinderungen,8
steigen,8
regnen,8
1.500,8
eventuell,8
nehmen,8
versicherungen,8
reicht,8
hitzewelle,8
ähnlich,8
vielleicht,8
alte,8
darf,8
2.000,8
system,8
frei,8
vorhergesagt,8
zerstörung,8
wirbelstürme,8
zweite,8
berichteten,8
maßnahmen,8
kürzester,8
straubing-bogen,8
zug,8
massive,8
auswirkungen,8
verkehrsunfällen,8
himmel,8
mittwochabend,8
höchsten,8
litern,8
felder,8
südlich,8
nachrichtenagentur,8
bergen,8
dpa,8
anstieg,8
umwelt,8
berg,8
kulmbach,8
böden,8
400,8
verkehrsunfälle,8
setzte,8
fahrzeugen,8
dürften,8
hinein,8
amtliche,8
ischia,8
untergebracht,8
zuständige,8
alten,8
niedergegangen,8
2017,8
bereit,8
finanzielle,8
staatlichen,8
häufiger,8
früher,8
windhose,8
kontrolle,8
retten,8
geworden,8
mexiko,8
kräftige,8
sonntagmorgen,8
fordert,8
trockenheit,8
unterführungen,8
verzögerungen,8
heraus,8
regional,8
daran,8
zurück,8
stromversorgung,8
weiden,8
zeigte,8
murenabgängen,8
schönau,8
beseitigt,8
schätzungen,8
gleise,8
beläuft,8
rechtzeitig,8
begonnen,8
loch,8
überhaupt,8
garage,8
wäre,8
unternehmen,8
halbe,8
rathaus,8
bilden,8
blockiert,8
schließen,8
jeweils,8
beschädigte,8
taucher,8
umgeworfen,8
quer,8
kurzzeitig,8
bayerischer,8
sowohl,8
auszupumpen,8
br-anfrage,8
hohen,8
tiefgaragen,8
alleine,8
rede,8
aschaffenburg,8
zeigen,8
befahrbar,8
informieren,8
partnach,8
burglind,8
donau-ries,7
erreichte,7
kelheim,7
gefährdet,7
ästen,7
windböen,7
umstürzenden,7
abstand,7
geriet,7
flammen,7
oberen,7
leichten,7
stellenweise,7
nürnberger,7
garten,7
herabfallende,7
erdbeben,7
beschädigten,7
sommer,7
seitdem,7
lühr,7
veröffentlicht,7
berechnen,7
kostet,7
heißen,7
schlecht,7
findet,7
verfügung,7
suchen,7
rettung,7
brachten,7
größte,7
wahrscheinlich,7
hintergrund,7
bereichen,7
erhalten,7
verbreitet,7
staulagen,7
zählte,7
niederbayerns,7
stürmen,7
besuch,7
2022,7
antonia,7
jahres,7
ursache,7
staat,7
grenze,7
nachdem,7
befürchtet,7
dingolfing-landau,7
forchheim,7
pkw,7
glatteis,7
beeinträchtigungen,7
richteten,7
inseln,7
todesopfer,7
neapel,7
italienische,7
19.,7
zugleich,7
unpassierbar,7
schwierig,7
18.,7
liege,7
beobachtet,7
möglichkeit,7
darum,7
meint,7
richtete,7
ausnahmezustand,7
brachte,7
ortschaft,7
vorsorglich,7
unfall,7
500,7
roth,7
genutzt,7
europäische,7
zentrum,7
gewässer,7
schauern,7
deutscher,7
deutschem,7
hoffnung,7
weggeschwemmt,7
wichtige,7
nimmt,7
3.000,7
martin,7
hauses,7
unterspült,7
öffnen,7
auskunft,7
solle,7
feuerwehreinsätze,7
zerstörte,7
ließ,7
tiesler,7
wetterereignisse,7
länder,7
europa,7
verteilt,7
besten,7
durchmesser,7
gewitterzellen,7
feuchte,7
machten,7
erwischt,7
aufräumen,7
hände,7
oberleitung,7
christian,7
mensch,7
markus,7
oberbayerns,7
extremes,7
bangladesch,7
park,7
neukirchen,7
veranstalter,7
stelle,7
oberallgäu,7
eltern,7
verschiedenen,7
wolfgang,7
vermutlich,7
paderborn,7
nrw,7
gutachter,7
ausgeschlossen,7
bremen,7
würzburger,7
bekommt,7
gefahrenstufe,7
süd,7
einsturzgefährdet,7
anträge,7
hilfen,7
überflutung,7
landwirte,7
festland,7
lief,7
donald,7
söder,7
abgedeckte,6
kurzen,6
straubing,6
polizeieinsätze,6
hagelschauer,6
wetterwarnungen,6
ortszeit,6
hinaus,6
bestätigte,6
nationale,6
heutigen,6
nordbayern,6
tagesverlauf,6
bebaute,6
wasser-,6
kronach,6
bergbahnen,6
niederschlägen,6
geöffnet,6
warme,6
sturm-,6
möglichen,6
wohngebäudeversicherung,6
wichtig,6
windstärke,6
zusätzlich,6
zumindest,6
hitzewellen,6
untersucht,6
bundesregierung,6
umweltministerium,6
2019,6
vergleich,6
schiff,6
zukunft,6
höhere,6
befürchten,6
wollten,6
todesfälle,6
erfasst,6
sprechen,6
weiß,6
amt,6
350,6
vorhersage,6
sintflutartigen,6
mitteilung,6
videos,6
zeigten,6
einwohner,6
normalerweise,6
größten,6
bedrohung,6
hauptstadt,6
hochwasserschutz,6
verhindert,6
ereignis,6
schneeverwehungen,6
eingesetzt,6
gelten,6
länderbahn,6
kreisstraße,6
hochlagen,6
warnten,6
trat,6
afp,6
monaten,6
zehntausende,6
gdv,6
schwersten,6
schadenssumme,6
verursachten,6
naturkatastrophen,6
sagten,6
170,6
suchten,6
minus,6
celsius,6
größe,6
seen,6
nordwesten,6
sinken,6
ungewöhnlich,6
reisende,6
stürmische,6
warm,6
freitags,6
komme,6
infrastruktur,6
dillingen,6
zivilschutz,6
sizilien,6
hotels,6
italienischen,6
gestiegen,6
evakuiert,6
verwüstungen,6
verletzungen,6
wucht,6
hause,6
opfern,6
erkennen,6
spuren,6
gewütet,6
tiere,6
vereinzelte,6
pflanzen,6
zeiten,6
internetseite,6
hans,6
nationalparks,6
gearbeitet,6
brandenburg,6
betont,6
erinnert,6
touristen,6
ansonsten,6
erlebt,6
neun,6
kraft,6
