Word,Frequency
vulkan,59
ausbruch,44
menschen,43
lava,39
mehr,31
rund,31
seit,28
worden,28
sei,26
jahr,24
agung,24
wurden,23
vulkans,22
palma,22
bereits,21
vulkane,20
meter,20
kilometer,20
behörden,19
sicherheit,18
wurde,18
insel,18
sagte,18
erdbeben,17
seien,16
etwa,16
vulkanausbruch,16
humboldt,16
leben,15
immer,15
laut,14
mauna,14
loa,14
hawaii,14
alexander,14
jahren,13
schon,13
eruption,13
mussten,13
asche,13
eruptionen,13
bali,13
ausgebrochen,12
gebiet,12
häuser,12
erde,11
zwei,11
gefahr,11
mehrere,11
liegt,11
stadt,11
neapel,11
wegen,10
zufolge,10
gab,10
höchste,10
welt,10
big,10
island,10
gennaro,10
september,10
möglich,9
jahre,9
deutschland,9
aktivität,9
fast,9
krater,9
magma,9
angaben,9
beim,9
zuletzt,9
tausende,9
vulkanen,9
stunden,9
teilte,9
bislang,9
gibt,9
gebracht,9
san,9
flughafen,9
wissenschaftler,9
beben,9
indonesischen,9
mount,8
vergangenen,8
millionen,8
hoch,8
fünf,8
jedoch,8
hohen,8
aktiv,8
gestein,8
nachdem,8
kommt,8
damals,8
großen,8
viele,8
münchen,8
tanz,8
ausbruchs,8
erste,8
alarmstufe,8
cumbre,8
vieja,8
sprecher,8
tsunami,8
sagt,7
tagen,7
kommen,7
bringen,7
samstag,7
sehen,7
kamen,7
ums,7
metern,7
aktiven,7
drei,7
kleinere,7
kilauea,7
zudem,7
lange,7
neue,7
blut,7
bisher,7
nahe,7
stärke,7
flüge,7
institut,7
lage,7
kīlauea,7
spd,7
indonesien,7
experten,6
ausstellung,6
grad,6
hätten,6
feuerwerk,6
davon,6
häufig,6
letzten,6
berichtete,6
kilometern,6
1.000,6
mindestens,6
ausbrüche,6
richtung,6
mal,6
erklärt,6
heute,6
gehen,6
deshalb,6
kanareninsel,6
montag,6
twitter,6
hauptstadt,6
anwohner,6
denen,6
wochen,6
verlassen,6
urlauber,6
folge,5
deutsche,5
betroffen,5
120,5
ersten,5
wer,5
macht,5
sogar,5
vulkanologie,5
frühen,5
heiße,5
himmel,5
sieben,5
umgebung,5
zunächst,5
vulkanasche,5
sperrzone,5
berg,5
pazifischen,5
feuerring,5
usgs,5
aktive,5
mitteilte,5
ascheregen,5
medien,5
ganz,5
gelegenen,5
hunderte,5
kürzeder,5
lassen,5
zeigt,5
donnerstag,5
sánchez,5
aschewolke,5
entfernt,5
10.000,5
könne,5
registriert,5
tonga,5
höhe,5
6.000,5
kanaren,5
weitere,5
sonntag,5
ort,5
auslösen,5
beiden,5
oberfläche,5
weit,5
monaten,5
katastrophenschutzbehörde,5
reisende,5
1963,5
wäre,4
professor,4
deutschen,4
tun,4
erdkruste,4
geschichte,4
lang,4
sollten,4
treffen,4
artikel,4
bayern,4
euro,4
warnung,4
bewohner,4
deutlich,4
außerdem,4
warnstufe,4
schäden,4
einwohner,4
hohe,4
erklärte,4
hang,4
aufgerufen,4
eigenen,4
tote,4
dabei,4
knapp,4
vulkanausbrüche,4
beispiel,4
aktivsten,4
stößt,4
us-erdbebenwarte,4
lavaströme,4
besteht,4
derzeit,4
behörde,4
größten,4
schnell,4
lavastrom,4
gerade,4
meer,4
2018,4
700,4
wohnungen,4
bestehe,4
könnten,4
vulkanische,4
gebe,4
zivilschutz,4
danach,4
zeit,4
brach,4
informationen,4
vesuv,4
sollen,4
diözesanmuseum,4
vesuvs,4
jesus,4
christoph,4
beschreibt,4
paar,4
tausend,4
jahrhundert,4
straßen,4
tiefe,4
woche,4
erst,4
großer,4
stehen,4
erneut,4
ausgerufen,4
stieg,4
lokschuppen,4
ganzen,4
ätna,4
tag,4
allerdings,4
betrieb,4
mehreren,4
flugverkehr,4
innerhalb,4
region,4
wenig,4
weniger,4
müssen,4
kleine,4
sechs,4
dafür,4
mittwoch,4
vier,4
führt,4
lässt,4
frage,4
stellen,4
aufgefordert,4
gesperrt,4
erreichte,4
geht,4
darauf,4
stunde,4
druck,4
bricht,4
mai,4
bergbau,4
goldkronach,4
demnach,4
regierung,4
geschlossen,4
merkel,4
schmidt,4
csu,4
glyphosat,4
koalition,4
internationale,4
entscheidung,4
umkreis,4
100.000,4
flughafens,4
sowie,4
bettina,4
urlaubsinsel,4
heißt,3
gar,3
wohl,3
überhaupt,3
präsident,3
rosenheim,3
forscher,3
natürlich,3
gesehen,3
raketen,3
konnte,3
zahlreichen,3
sprach,3
schwere,3
kinder,3
ganze,3
situation,3
trotz,3
oft,3
größere,3
hundert,3
hauptinsel,3
java,3
anzeichen,3
weiterhin,3
indonesische,3
1.500,3
wolke,3
verletzte,3
schutz,3
nachrichtenagentur,3
afp,3
nachmittag,3
sender,3
internet,3
unterbrochen,3
bevölkerung,3
befürchtet,3
ströme,3
bezirk,3
bestand,3
gesteinsbrocken,3
zusammen,3
japan,3
ausgelöst,3
wetterbehörde,3
ausbruchder,3
touristen,3
zone,3
gelegene,3
gemeinden,3
warnte,3
entfernte,3
zerstört,3
berges,3
unten,3
lediglich,3
beobachtet,3
voraus,3
zentimeter,3
obwohl,3
geöffnet,3
eigene,3
tage,3
vorstellungen,3
religiöse,3
heilige,3
prozession,3
sieht,3
brechen,3
heiligen,3
gleich,3
eigentlich,3
wissen,3
hilfe,3
zeigen,3
art,3
her,3
hintergrund,3
sagen,3
bohrung,3
lfu,3
selb,3
vergangenheit,3
eichhorn,3
leiter,3
besonders,3
pedro,3
arbeiten,3
schrieb,3
rauch,3
imo,3
rot,3
flugzeuge,3
auswirkungen,3
riss,3
risiko,3
gehört,3
inselstaat,3
angesichts,3
aktuellen,3
persönliche,3
mögliche,3
messbar,3
explosion,3
gewaltigen,3
hpa,3
gebieten,3
später,3
wellen,3
januar,3
erreicht,3
nimmt,3
teil,3
los,3
llanos,3
aridane,3
evakuiert,3
teneriffa,3
freitag,3
ortschaften,3
bayerischen,3
dadurch,3
monate,3
daher,3
verbindung,3
wahrscheinlich,3
lmu,3
fliegen,3
luft,3
5.000,3
geben,3
ende,3
unmittelbar,3
bevor,3
nächsten,3
abend,3
zahl,3
gut,3
einsatzkräfte,3
sogenannten,3
zehn,3
letzte,3
jamie,3
farquharson,3
falk,3
amelung,3
rosenstiel,3
school,3
universität,3
neun,3
fichtelgebirge,3
reist,3
gilt,3
palu,3
ausbrechen,3
county,3
entstehen,3
spalte,3
mittlerweile,3
brüssel,3
zulassung,3
nationalen,3
umweltministerin,3
ferieninsel,3
morgen,3
komplett,3
ngurah,3
rai,3
denpasar,3
vertrauensbruch,3
gespräche,3
nahles,3
gestrichen,3
schlecker,3
duh,3
lombok,3
steht,2
angst,2
meschede,2
erdinnern,2
temperaturen,2
500,2
celsius,2
folgen,2
böller,2
corona-pandemie,2
möglichst,2
verletzten,2
ansonsten,2
silvester,2
vielzahl,2
umgang,2
umwelthilfe,2
verbrennungen,2
roten,2
hinzu,2
8.000,2
umsatz,2
rechnet,2
illegalen,2
passiert,2
deren,2
äußerst,2
begann,2
illegale,2
verletzungen,2
führen,2
enthalten,2
stärker,2
beispielsweise,2
feuerwerkskörper,2
gefährlich,2
kaufen,2
tschechien,2
direkt,2
erwartet,2
semeru,2
osten,2
indonesiens,2
zentrum,2
registrierte,2
ortszeit,2
2000,2
morgenstunden,2
radius,2
bekannt,2
schule,2
suchten,2
rettungskräften,2
riesige,2
podcast,2
vulkanismus,2
umliegenden,2
verteilten,2
hoher,2
aschesäulen,2
abstand,2
gasen,2
hinab,2
japanische,2
signifikante,2
anfang,2
dezember,2
2021,2
3.700,2
130,2
philippinen,2
geologisch,2
vulkanausbrüchen,2
katastrophen,2
warnen,2
sonntagabend,2
begonnen,2
hangabwärts,2
vergangene,2
gezeigt,2
stadien,2
dynamisch,2
steilen,2
flanken,2
4.169,2
hinunterfließen,2
1950,2
brauchte,2
erreichen,2
grenzt,2
späten,2
kurz,2
gipfel,2
gase,2
gebiete,2
dauert,2
unmöglich,2
vorherzusagen,2
risse,2
berichte,2
geflohen,2
außerhalb,2
sozialen,2
floss,2
corno,2
bringt,2
unglück,2
dagegen,2
abwehr,2
neapolitaner,2
phlegräische,2
felder,2
freising,2
glauben,2
nacht,2
2.000,2
praktiken,2
naturgewalten,2
christus,2
herculaneum,2
antike,2
beschäftigt,2
vorgang,2
finden,2
pompeji,2
griff,2
corona,2
werk,2
besänftigung,2
verschiedene,2
hand,2
mittler,2
mittel,2
dreifaltigkeit,2
wolken,2
entgegen,2
reliquie,2
regelmäßig,2
landesamt,2
umwelt,2
wunsiedel,2
kommenden,2
erkenntnisse,2
entsteht,2
jungen,2
größer,2
vermutet,2
roland,2
geologischer,2
dienst,2
dank,2
möglichkeiten,2
untersuchung,2
ließ,2
sehe,2
darunter,2
spanische,2
