Word;Frequency;
feuer;246;
feuerwehr;174;
brand;156;
mehr;148;
rund;137;
waldbrände;136;
sei;132;
wald;130;
flammen;127;
menschen;126;
wurden;126;
immer;124;
wegen;122;
brände;118;
bayern;115;
temperaturen;114;
seit;109;
waldbrand;109;
grad;107;
polizei;105;
landkreis;104;
etwa;102;
waldbrandgefahr;102;
einsatz;95;
bereits;94;
trockenheit;93;
artikel;92;
wurde;90;
seien;88;
br24;85;
sagte;84;
zwei;82;
feuerwehrleute;81;
hektar;81;
einsatzkräfte;81;
hitze;78;
regierung;74;
feuerwehren;73;
wasser;72;
laut;70;
schon;68;
mehrere;66;
waldbränden;64;
angaben;64;
fläche;64;
worden;63;
sollen;61;
jahr;60;
derzeit;58;
gefahr;57;
dwd;55;
freitag;54;
rundschau;54;
besonders;52;
deutschland;52;
wochenende;52;
viele;51;
regen;50;
hubschrauber;49;
tagen;49;
luft;49;
löscharbeiten;47;
drei;47;
sehen;47;
kontrolle;46;
hohe;46;
schnell;46;
gibt;45;
wetterdienst;45;
region;44;
löschen;44;
müssen;44;
samstag;43;
vier;43;
dienstag;43;
gilt;43;
nacht;43;
behörden;42;
fünf;42;
deutschen;42;
einfach;42;
zudem;41;
mittwoch;41;
lage;40;
fast;40;
bäume;40;
sonntag;40;
sowie;40;
hoch;40;
donnerstag;40;
ort;40;
häuser;39;
jahren;39;
beim;39;
könnten;39;
kilometer;38;
vergangenen;38;
piloten;38;
euro;38;
luftbeobachter;38;
wann;38;
mitteilte;37;
quadratmeter;37;
montag;37;
klimawandel;37;
dürre;37;
deutsche;37;
schlagwort;37;
tippen;37;
liste;37;
verletzt;36;
gebracht;36;
dafür;36;
boden;36;
weitere;36;
höchste;36;
hitzewelle;35;
teilen;35;
zufolge;34;
zerstört;34;
prozent;34;
gut;34;
betroffen;34;
wälder;34;
heute;34;
woche;34;
geht;33;
gebiet;33;
konnte;33;
erwartet;33;
großen;32;
mussten;32;
beispiel;32;
erst;32;
ausgebrochen;32;
außerdem;32;
griechenland;32;
bränden;31;
nahe;31;
bayerischen;31;
dabei;31;
hohen;31;
unterfranken;31;
große;31;
teilte;30;
sagt;30;
uhr;30;
italien;30;
mittelfranken;30;
heißt;30;
spanien;29;
insgesamt;29;
zunächst;29;
warnstufe;29;
abonnieren;29;
zehn;28;
regionen;28;
wind;28;
sogar;28;
deshalb;28;
aufgrund;28;
oberfranken;28;
schwer;28;
flüge;28;
landwirte;28;
stadt;27;
wochen;27;
löschflugzeuge;27;
flugzeuge;27;
ende;27;
bislang;27;
oberpfalz;27;
könne;26;
davon;26;
sicherheit;26;
bayerns;26;
juli;26;
100;26;
niederbayern;26;
kommenden;26;
mindestens;25;
leben;25;
weniger;25;
deutlich;25;
vielen;25;
wäldern;25;
teile;25;
sprecher;25;
landes;24;
sommer;24;
ursache;24;
gesperrt;24;
wald-;24;
feld;24;
brennt;24;
nähe;24;
juni;24;
beobachtungsflüge;24;
gelöscht;24;
hilfe;23;
lassen;23;
statt;23;
neue;23;
norden;23;
aktuell;23;
einsatzkräften;23;
luftrettungsstaffel;23;
hätten;23;
ersten;23;
schweiz;23;
gegeben;22;
jahre;22;
gab;22;
1.000,00;22;
erreicht;22;
angeordnet;22;
tage;22;
nächsten;22;
zahlreiche;22;
gras;22;
brannte;22;
zeit;22;
neben;22;
gemeldet;22;
bisher;22;
portugal;22;
löschwasser;22;
nachmittag;22;
tag;22;
weiterhin;21;
stark;21;
zahl;21;
liegt;21;
200;21;
stunden;21;
sollten;21;
kalifornien;21;
süden;21;
möglich;21;
freistaat;21;
kommt;21;
stufe;21;
ums;20;
celsius;20;
allerdings;20;
kommen;20;
kam;20;
verhindern;20;
trocken;20;
brandstiftung;20;
glasscherbe;20;
sogenannte;20;
wiesen;20;
anhaltenden;20;
rundschau-magazin;20;
land;19;
stehen;19;
problem;19;
löschhubschrauber;19;
bevölkerung;19;
liter;19;
aschaffenburg;19;
wohl;19;
rauch;19;
demnach;19;
berichtete;19;
glutnester;19;
dazustellen;19;
inzwischen;18;
teil;18;
lange;18;
knapp;18;
rechnen;18;
nationalpark;18;
erneut;18;
300;18;
kämpfen;18;
feuers;18;
mehreren;18;
ganz;18;
erklärt;18;
beiden;18;
auslösen;18;
fahrzeuge;18;
autos;18;
starten;18;
leicht;18;
geraten;18;
kreis;18;
herrmann;18;
entzünden;18;
kronach;18;
unterstützt;18;
