Word,Frequency
menschen,1559
wasser,1129
bayern,831
jahr,782
schon,745
artikel,717
laut,705
bereits,701
grad,700
wegen,689
zwei,687
sagte,679
viele,661
deutschland,627
jahren,627
hitze,619
landkreis,615
gibt,611
worden,586
temperaturen,561
bearbeiten,557
sagt,546
stadt,543
millionen,526
erdbeben,516
dabei,515
schäden,501
feuerwehr,499
euro,493
drei,490
besonders,465
sowie,462
bäume,447
beim,436
angaben,435
polizei,432
türkei,427
heute,425
müssen,422
mehrere,421
prozent,420
beispiel,419
sollen,411
hochwasser,404
ort,401
unwetter,396
feuer,390
geht,389
br24,389
betroffen,383
weitere,382
hilfe,381
derzeit,376
große,372
leben,370
vergangenen,366
wald,364
könnten,361
deutschen,360
region,359
regen,358
gab,357
klimawandel,357
gut,356
jahre,355
straßen,354
trockenheit,352
kommt,346
kommen,344
meter,341
weniger,339
erst,333
nacht,329
bayerischen,321
außerdem,317
einfach,312
deutsche,310
tagen,308
stark,306
pro,305
gefahr,305
einsatz,304
schnell,304
dwd,301
zeit,300
ersten,300
großen,300
vier,299
land,298
davon,297
regierung,295
gilt,294
fast,288
stunden,287
donau,284
sommer,283
sehen,281
fünf,281
starkregen,278
ganz,277
quelltext,277
lage,276
gletscher,275
wetterdienst,274
deutlich,274
betroffenen,274
dafür,274
erreicht,268
100,266
erde,266
kam,265
heißt,264
milliarden,262
jedoch,262
neue,260
zehn,260
beben,260
zunächst,258
möglich,256
verletzt,255
häuser,254
mal,254
könne,253
liegt,253
woche,252
brand,250
liste,247
überschwemmungen,247
uhr,245
aufgrund,244
einsatzkräfte,243
teil,242
luft,241
zufolge,240
syrien,240
ende,239
behörden,239
tage,239
freitag,238
tag,236
regionen,235
gerade,234
sturm,231
lassen,231
juli,230
gewitter,228
vielen,228
teilte,227
hohen,223
keller,222
mussten,220
wochenende,220
mittwoch,219
waldbrände,217
hohe,215
zahl,215
bisher,214
gebäude,214
teilen,213
oft,212
bayerns,211
folgen,210
kilometer,209
erklärt,209
wochen,209
hektar,209
gehen,208
boden,207
konnte,207
wenig,207
münchen,206
rundschau,205
teile,204
meldestufe,204
hätten,203
hoch,203
sonntag,202
samstag,202
montag,201
höhe,197
schwer,196
darauf,196
sonne,196
dienstag,196
schaden,195
pegel,195
flammen,194
demnach,193
denen,193
usa,191
stellen,191
dürre,191
letzten,188
stehen,187
kinder,187
kreis,186
wetter,186
aktuell,186
donnerstag,186
katastrophe,186
folge,184
ums,182
helfen,181
oberpfalz,180
unterfranken,180
bislang,179
hitzewelle,179
erwartet,178
alpen,177
geben,176
steht,176
sprecher,176
schnee,176
regensburg,175
gegeben,174
juni,174
neben,174
feuerwehren,174
bevölkerung,173
inzwischen,173
erste,173
beiden,173
morgen,172
zahlreiche,171
abend,170
august,170
dadurch,170
stärke,170
lange,169
innerhalb,169
zerstört,168
bleibt,167
gesperrt,167
waldbrandgefahr,167
schwere,166
schlagwort,166
bereich,166
experten,165
tippen,165
fläche,164
sieht,163
sollten,163
kamen,161
metern,161
besser,161
schweren,161
brände,161
fall,160
gebracht,160
süden,159
entstehen,159
wind,159
situation,159
grund,159
sicherheit,159
waldbrand,159
quadratmeter,158
knapp,157
müsse,157
gekommen,156
nächsten,156
hurrikan,156
gebiet,155
weiteren,153
autos,153
groß,153
daher,153
führen,153
erklärte,152
macht,152
finden,152
wann,151
mitteilte,151
nachmittag,150
liter,150
stand,150
europa,150
hagel,149
meist,149
welt,149
informationen,149
bayerische,147
2021,147
200,146
konnten,146
gemeinden,145
lässt,144
liegen,144
später,143
helfer,143
gemeinde,143
kommenden,142
aktuellen,142
erreichen,141
genau,141
zusammen,141
sieben,141
bleiben,141
gebe,141
rechnen,141
sechs,140
nahe,140
mehreren,140
auswirkungen,140
tote,139
einsätze,139
unterstützung,139
maßnahmen,139
problem,139
neuen,138
bund,138
beschädigt,138
wohl,137
teils,137
halten,136
weiterhin,136
wer,136
norden,136
insbesondere,136
eis,136
wichtig,135
km/h,135
direkt,135
müssten,134
isbn,134
bürgermeister,133
feuerwehrleute,133
würzburg,133
warnt,132
wäre,132
damals,132
passau,132
sorgen,132
starken,131
niederbayern,131
auto,130
zentimeter,130
erneut,129
weit,128
statt,128
raum,128
freistaat,128
